Date,TD Securities,Corporation,TD Securities
2004-01-04,0
2004-01-11,0
2004-01-18,0
2004-01-25,0
2004-02-01,0
2004-02-08,0
2004-02-15,0
2004-02-22,0
2004-02-29,0
2004-03-07,0
2004-03-14,0
2004-03-21,0
2004-03-28,0
2004-04-04,0
2004-04-11,0
2004-04-18,0
2004-04-25,0
2004-05-02,0
2004-05-09,0
2004-05-16,0
2004-05-23,0
2004-05-30,0
2004-06-06,0
2004-06-13,0
2004-06-20,0
2004-06-27,0
2004-07-04,0
2004-07-11,0
2004-07-18,0
2004-07-25,0
2004-08-01,0
2004-08-08,0
2004-08-15,0
2004-08-22,0
2004-08-29,0
2004-09-05,0
2004-09-12,0
2004-09-19,0
2004-09-26,0
2004-10-03,0
2004-10-10,0
2004-10-17,0
2004-10-24,0
2004-10-31,0
2004-11-07,0
2004-11-14,0
2004-11-21,0
2004-11-28,0
2004-12-05,0
2004-12-12,0
2004-12-19,0
2004-12-26,0
2005-01-02,0
2005-01-09,0
2005-01-16,0
2005-01-23,0
2005-01-30,0
2005-02-06,0
2005-02-13,0
2005-02-20,0
2005-02-27,0
2005-03-06,0
2005-03-13,0
2005-03-20,0
2005-03-27,0
2005-04-03,0
2005-04-10,0
2005-04-17,0
2005-04-24,0
2005-05-01,0
2005-05-08,0
2005-05-15,0
2005-05-22,0
2005-05-29,0
2005-06-05,0
2005-06-12,0
2005-06-19,0
2005-06-26,0
2005-07-03,0
2005-07-10,0
2005-07-17,0
2005-07-24,0
2005-07-31,0
2005-08-07,0
2005-08-14,0
2005-08-21,0
2005-08-28,0
2005-09-04,0
2005-09-11,0
2005-09-18,0
2005-09-25,100
2005-10-02,100
2005-10-09,0
2005-10-16,0
2005-10-23,0
2005-10-30,0
2005-11-06,0
2005-11-13,0
2005-11-20,0
2005-11-27,0
2005-12-04,0
2005-12-11,0
2005-12-18,0
2005-12-25,0
2006-01-01,0
2006-01-08,0
2006-01-15,69
2006-01-22,76
2006-01-29,70
2006-02-05,71
2006-02-12,73
2006-02-19,83
2006-02-26,92
2006-03-05,64
2006-03-12,64
2006-03-19,64
2006-03-26,64
2006-04-02,90
2006-04-09,63
2006-04-16,63
2006-04-23,63
2006-04-30,72
2006-05-07,0
2006-05-14,0
2006-05-21,0
2006-05-28,0
2006-06-04,0
2006-06-11,0
2006-06-18,0
2006-06-25,0
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,0
2006-07-30,0
2006-08-06,0
2006-08-13,0
2006-08-20,0
2006-08-27,0
2006-09-03,0
2006-09-10,94
2006-09-17,93
2006-09-24,60
2006-10-01,81
2006-10-08,54
2006-10-15,84
2006-10-22,79
2006-10-29,57
2006-11-05,0
2006-11-12,0
2006-11-19,0
2006-11-26,0
2006-12-03,0
2006-12-10,0
2006-12-17,53
2006-12-24,61
2006-12-31,70
2007-01-07,78
2007-01-14,67
2007-01-21,72
2007-01-28,49
2007-02-04,49
2007-02-11,49
2007-02-18,49
2007-02-25,63
2007-03-04,47
2007-03-11,61
2007-03-18,75
2007-03-25,50
2007-04-01,50
2007-04-08,50
2007-04-15,50
2007-04-22,42
2007-04-29,42
2007-05-06,38
2007-05-13,54
2007-05-20,68
2007-05-27,38
2007-06-03,42
2007-06-10,53
2007-06-17,45
2007-06-24,45
2007-07-01,62
2007-07-08,39
2007-07-15,39
2007-07-22,50
2007-07-29,38
2007-08-05,38
2007-08-12,46
2007-08-19,48
2007-08-26,50
2007-09-02,53
2007-09-09,65
2007-09-16,74
2007-09-23,64
2007-09-30,47
2007-10-07,53
2007-10-14,49
2007-10-21,32
2007-10-28,42
2007-11-04,47
2007-11-11,51
2007-11-18,53
2007-11-25,55
2007-12-02,52
2007-12-09,45
2007-12-16,47
2007-12-23,49
2007-12-30,51
2008-01-06,53
2008-01-13,41
2008-01-20,37
2008-01-27,63
2008-02-03,47
2008-02-10,29
2008-02-17,37
2008-02-24,31
2008-03-02,44
2008-03-09,39
2008-03-16,59
2008-03-23,45
2008-03-30,44
2008-04-06,36
2008-04-13,47
2008-04-20,47
2008-04-27,31
2008-05-04,28
2008-05-11,27
2008-05-18,31
2008-05-25,35
2008-06-01,45
2008-06-08,33
2008-06-15,39
2008-06-22,31
2008-06-29,59
2008-07-06,55
2008-07-13,39
2008-07-20,28
2008-07-27,28
2008-08-03,45
2008-08-10,51
2008-08-17,35
2008-08-24,40
2008-08-31,60
2008-09-07,37
2008-09-14,53
2008-09-21,39
2008-09-28,55
2008-10-05,43
2008-10-12,43
2008-10-19,52
2008-10-26,31
2008-11-02,26
2008-11-09,38
2008-11-16,46
2008-11-23,37
2008-11-30,38
2008-12-07,37
2008-12-14,28
2008-12-21,28
2008-12-28,44
2009-01-04,60
2009-01-11,52
2009-01-18,58
2009-01-25,26
2009-02-01,34
2009-02-08,50
2009-02-15,25
2009-02-22,38
2009-03-01,35
2009-03-08,22
2009-03-15,23
2009-03-22,20
2009-03-29,23
2009-04-05,24
2009-04-12,31
2009-04-19,39
2009-04-26,25
2009-05-03,49
2009-05-10,32
2009-05-17,32
2009-05-24,26
2009-05-31,55
2009-06-07,20
2009-06-14,44
2009-06-21,39
2009-06-28,28
2009-07-05,32
2009-07-12,40
2009-07-19,36
2009-07-26,25
2009-08-02,29
2009-08-09,43
2009-08-16,32
2009-08-23,37
2009-08-30,42
2009-09-06,58
2009-09-13,59
2009-09-20,54
2009-09-27,41
2009-10-04,46
2009-10-11,32
2009-10-18,34
2009-10-25,17
2009-11-01,31
2009-11-08,29
2009-11-15,43
