Date,NRG Yield
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,0
2013-03-06,0
2013-03-07,0
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-16,0
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,0
2013-03-27,0
2013-03-28,0
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,1
2013-05-04,1
2013-05-05,2
2013-05-06,2
2013-05-07,3
2013-05-08,3
2013-05-09,4
2013-05-10,4
2013-05-11,5
2013-05-12,5
2013-05-13,6
2013-05-14,6
2013-05-15,7
2013-05-16,7
2013-05-17,8
2013-05-18,8
2013-05-19,9
2013-05-20,9
2013-05-21,10
2013-05-22,10
2013-05-23,11
2013-05-24,11
2013-05-25,12
2013-05-26,12
2013-05-27,13
2013-05-28,13
2013-05-29,14
2013-05-30,14
2013-05-31,15
2013-06-01,16
2013-06-02,18
2013-06-03,21
2013-06-04,24
2013-06-05,27
2013-06-06,30
2013-06-07,32
2013-06-08,35
2013-06-09,38
2013-06-10,41
2013-06-11,44
2013-06-12,46
2013-06-13,49
2013-06-14,52
2013-06-15,55
2013-06-16,58
2013-06-17,60
2013-06-18,63
2013-06-19,66
2013-06-20,69
2013-06-21,72
2013-06-22,74
2013-06-23,77
2013-06-24,80
2013-06-25,83
2013-06-26,86
2013-06-27,88
2013-06-28,91
2013-06-29,94
2013-06-30,97
2013-07-01,100
2013-07-02,98
2013-07-03,96
2013-07-04,94
2013-07-05,92
2013-07-06,90
2013-07-07,88
2013-07-08,86
2013-07-09,85
2013-07-10,83
2013-07-11,81
2013-07-12,79
2013-07-13,77
