Date,Rex Energy
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,0
2007-01-29,0
2007-01-30,0
2007-01-31,0
2007-02-01,0
2007-02-02,0
2007-02-03,0
2007-02-04,0
2007-02-05,0
2007-02-06,0
2007-02-07,0
2007-02-08,0
2007-02-09,0
2007-02-10,0
2007-02-11,0
2007-02-12,0
2007-02-13,0
2007-02-14,0
2007-02-15,0
2007-02-16,0
2007-02-17,0
2007-02-18,0
2007-02-19,0
2007-02-20,0
2007-02-21,0
2007-02-22,0
2007-02-23,0
2007-02-24,0
2007-02-25,0
2007-02-26,0
2007-02-27,0
2007-02-28,0
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,1
2007-04-03,3
2007-04-04,4
2007-04-05,6
2007-04-06,8
2007-04-07,9
2007-04-08,11
2007-04-09,12
2007-04-10,14
2007-04-11,16
2007-04-12,17
2007-04-13,19
2007-04-14,20
2007-04-15,22
2007-04-16,24
2007-04-17,25
2007-04-18,27
2007-04-19,28
2007-04-20,30
2007-04-21,32
2007-04-22,33
2007-04-23,35
2007-04-24,36
2007-04-25,38
2007-04-26,40
2007-04-27,41
2007-04-28,43
2007-04-29,44
2007-04-30,46
2007-05-01,48
2007-05-02,48
2007-05-03,48
2007-05-04,48
2007-05-05,48
2007-05-06,48
2007-05-07,48
2007-05-08,48
2007-05-09,48
2007-05-10,48
2007-05-11,48
2007-05-12,48
2007-05-13,48
2007-05-14,48
2007-05-15,48
2007-05-16,48
2007-05-17,48
2007-05-18,48
2007-05-19,48
2007-05-20,48
2007-05-21,48
2007-05-22,48
2007-05-23,48
2007-05-24,48
2007-05-25,48
2007-05-26,48
2007-05-27,48
2007-05-28,48
2007-05-29,48
2007-05-30,48
2007-05-31,48
2007-06-01,48
2007-06-02,48
2007-06-03,48
2007-06-04,48
2007-06-05,48
2007-06-06,48
2007-06-07,48
2007-06-08,48
2007-06-09,48
2007-06-10,48
2007-06-11,48
2007-06-12,48
2007-06-13,48
2007-06-14,48
2007-06-15,48
2007-06-16,48
2007-06-17,48
2007-06-18,48
2007-06-19,48
2007-06-20,48
2007-06-21,48
2007-06-22,48
2007-06-23,48
2007-06-24,48
2007-06-25,48
2007-06-26,48
2007-06-27,48
2007-06-28,48
2007-06-29,48
2007-06-30,48
2007-07-01,48
2007-07-02,47
2007-07-03,46
2007-07-04,46
2007-07-05,45
2007-07-06,45
2007-07-07,44
2007-07-08,44
2007-07-09,43
2007-07-10,43
2007-07-11,42
2007-07-12,42
2007-07-13,41
2007-07-14,41
2007-07-15,40
2007-07-16,40
2007-07-17,39
2007-07-18,39
2007-07-19,38
2007-07-20,38
2007-07-21,37
2007-07-22,37
2007-07-23,36
2007-07-24,36
2007-07-25,35
2007-07-26,35
2007-07-27,34
2007-07-28,34
2007-07-29,33
2007-07-30,33
2007-07-31,32
2007-08-01,32
2007-08-02,32
2007-08-03,32
2007-08-04,32
2007-08-05,32
2007-08-06,32
2007-08-07,32
2007-08-08,32
2007-08-09,32
2007-08-10,32
2007-08-11,32
2007-08-12,32
2007-08-13,32
2007-08-14,32
2007-08-15,32
2007-08-16,32
2007-08-17,32
2007-08-18,32
2007-08-19,32
2007-08-20,32
2007-08-21,32
2007-08-22,32
2007-08-23,32
2007-08-24,32
2007-08-25,32
2007-08-26,32
2007-08-27,32
2007-08-28,32
2007-08-29,32
2007-08-30,32
2007-08-31,32
2007-09-01,32
2007-09-02,32
2007-09-03,32
2007-09-04,32
2007-09-05,33
2007-09-06,33
2007-09-07,33
2007-09-08,33
2007-09-09,34
2007-09-10,34
2007-09-11,34
2007-09-12,34
2007-09-13,35
2007-09-14,35
2007-09-15,35
2007-09-16,36
2007-09-17,36
2007-09-18,36
2007-09-19,36
2007-09-20,37
2007-09-21,37
2007-09-22,37
2007-09-23,37
2007-09-24,38
2007-09-25,38
2007-09-26,38
2007-09-27,38
2007-09-28,39
2007-09-29,39
2007-09-30,39
2007-10-01,40
