Date,PBF Energy
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,4
2011-05-16,9
2011-05-17,13
2011-05-18,18
2011-05-19,22
2011-05-20,27
2011-05-21,32
2011-05-22,27
2011-05-23,22
2011-05-24,18
2011-05-25,13
2011-05-26,9
2011-05-27,4
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,4
2011-07-25,9
2011-07-26,13
2011-07-27,18
2011-07-28,22
2011-07-29,27
2011-07-30,32
2011-07-31,33
2011-08-07,38
2011-08-08,36
2011-08-09,34
2011-08-10,31
2011-08-11,29
2011-08-12,27
2011-08-13,25
2011-08-14,25
2011-08-15,25
2011-08-16,25
2011-08-17,25
2011-08-18,25
2011-08-19,25
2011-08-20,25
2011-08-21,25
2011-08-22,25
2011-08-23,25
2011-08-24,25
2011-08-25,26
2011-08-26,26
2011-08-27,27
2011-08-28,25
2011-08-29,25
2011-08-30,25
2011-08-31,25
2011-09-01,25
2011-09-02,25
2011-09-03,25
2011-09-04,25
2011-09-05,25
2011-09-06,25
2011-09-07,25
2011-09-08,25
2011-09-09,25
2011-09-10,25
2011-09-11,25
2011-09-12,25
2011-09-13,25
2011-09-14,25
2011-09-15,25
2011-09-16,25
2011-09-17,25
2011-09-18,25
2011-09-19,26
2011-09-20,26
2011-09-21,27
2011-09-22,27
2011-09-23,28
2011-09-24,29
2011-09-25,29
2011-09-26,30
2011-09-27,31
2011-09-28,31
2011-09-29,32
2011-09-30,33
2011-10-01,34
2011-10-02,34
2011-10-03,35
2011-10-04,36
2011-10-05,37
2011-10-06,38
2011-10-07,38
2011-10-08,39
2011-10-09,34
2011-10-10,27
2011-10-11,22
2011-10-12,16
2011-10-13,11
2011-10-14,5
2011-10-15,0
2011-10-16,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,0
2011-10-27,0
2011-10-28,0
2011-10-29,0
2011-10-30,0
2011-11-01,0
2011-11-02,0
2011-11-03,0
2011-11-04,0
2011-11-05,0
2011-11-06,0
2011-11-07,0
2011-11-08,0
2011-11-09,0
2011-11-10,0
2011-11-11,0
2011-11-12,0
2011-11-13,4
2011-11-14,8
2011-11-15,12
2011-11-16,17
2011-11-17,21
2011-11-18,25
2011-11-19,30
2011-11-20,25
2011-11-21,21
2011-11-22,17
2011-11-23,12
2011-11-24,8
2011-11-25,4
2011-11-26,0
2011-11-27,0
2011-11-28,0
2011-11-29,0
2011-11-30,0
2011-12-01,0
2011-12-02,0
2011-12-03,0
2011-12-04,0
2011-12-05,0
2011-12-06,0
2011-12-07,0
2011-12-08,0
2011-12-09,0
2011-12-10,0
2011-12-11,0
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-17,0
2011-12-18,0
2011-12-19,0
2011-12-20,0
2011-12-21,0
2011-12-22,0
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,0
2011-12-29,0
