Date,Titan Machinery
2007-02-10,0
2007-02-11,0
2007-02-12,0
2007-02-13,0
2007-02-14,0
2007-02-15,0
2007-02-16,0
2007-02-17,0
2007-02-18,0
2007-02-19,0
2007-02-20,0
2007-02-21,0
2007-02-22,0
2007-02-23,0
2007-02-24,0
2007-02-25,0
2007-02-26,0
2007-02-27,0
2007-02-28,0
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,0
2007-04-03,0
2007-04-04,0
2007-04-05,0
2007-04-06,0
2007-04-07,0
2007-04-08,0
2007-04-09,0
2007-04-10,0
2007-04-11,0
2007-04-12,0
2007-04-13,0
2007-04-14,0
2007-04-15,0
2007-04-16,0
2007-04-17,0
2007-04-18,0
2007-04-19,0
2007-04-20,0
2007-04-21,0
2007-04-22,0
2007-04-23,0
2007-04-24,0
2007-04-25,0
2007-04-26,0
2007-04-27,0
2007-04-28,0
2007-04-29,0
2007-04-30,0
2007-05-01,0
2007-05-02,0
2007-05-03,0
2007-05-04,0
2007-05-05,0
2007-05-06,0
2007-05-07,0
2007-05-08,0
2007-05-09,0
2007-05-10,0
2007-05-11,0
2007-05-12,0
2007-05-13,0
2007-05-14,0
2007-05-15,0
2007-05-16,0
2007-05-17,0
2007-05-18,0
2007-05-19,0
2007-05-20,0
2007-05-21,0
2007-05-22,0
2007-05-23,0
2007-05-24,0
2007-05-25,0
2007-05-26,0
2007-05-27,0
2007-05-28,0
2007-05-29,0
2007-05-30,0
2007-05-31,0
2007-06-01,0
2007-06-02,0
2007-06-03,0
2007-06-04,0
2007-06-05,0
2007-06-06,0
2007-06-07,0
2007-06-08,0
2007-06-09,0
2007-06-10,0
2007-06-11,0
2007-06-12,0
2007-06-13,0
2007-06-14,0
2007-06-15,0
2007-06-16,0
2007-06-17,9
2007-06-18,18
2007-06-19,27
2007-06-20,37
2007-06-21,46
2007-06-22,55
2007-06-23,65
2007-06-24,55
2007-06-25,46
2007-06-26,37
2007-06-27,27
2007-06-28,18
2007-06-29,9
2007-06-30,0
2007-07-01,0
2007-07-02,0
2007-07-03,0
2007-07-04,0
2007-07-05,0
2007-07-06,0
2007-07-07,0
2007-07-08,0
2007-07-09,0
2007-07-10,0
2007-07-11,0
2007-07-12,0
2007-07-13,0
2007-07-14,0
2007-07-15,0
2007-07-16,0
2007-07-17,0
2007-07-18,0
2007-07-19,0
2007-07-20,0
2007-07-21,0
2007-07-22,0
2007-07-23,0
2007-07-24,0
2007-07-25,0
2007-07-26,0
2007-07-27,0
2007-07-28,0
2007-07-29,0
2007-07-30,0
2007-07-31,0
2007-08-01,0
2007-08-02,0
2007-08-03,0
2007-08-04,0
2007-08-05,0
2007-08-06,0
2007-08-07,0
2007-08-08,0
2007-08-09,0
2007-08-10,0
2007-08-11,0
2007-08-12,0
2007-08-13,0
2007-08-14,0
2007-08-15,0
2007-08-16,0
2007-08-17,0
2007-08-18,0
2007-08-19,0
2007-08-20,0
2007-08-21,0
2007-08-22,0
2007-08-23,0
2007-08-24,0
2007-08-25,0
2007-08-26,0
2007-08-27,0
2007-08-28,0
2007-08-29,0
2007-08-30,0
2007-08-31,0
2007-09-01,0
2007-09-02,0
2007-09-03,0
2007-09-04,0
2007-09-05,0
2007-09-06,0
2007-09-07,0
2007-09-08,0
2007-09-09,0
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-15,0
2007-09-16,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,0
2007-09-22,0
2007-09-23,0
2007-09-24,0
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-09-29,0
2007-09-30,0
2007-10-01,0
2007-10-02,0
2007-10-03,0
2007-10-04,0
2007-10-05,0
2007-10-06,0
2007-10-07,0
2007-10-08,0
2007-10-09,0
2007-10-10,0
2007-10-11,0
2007-10-12,0
2007-10-13,0
2007-10-14,0
2007-10-15,0
2007-10-16,0
2007-10-17,0
2007-10-18,0
2007-10-19,0
2007-10-20,0
2007-10-21,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-27,0
2007-10-28,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,9
2007-11-19,18
2007-11-20,28
2007-11-21,37
2007-11-22,47
2007-11-23,56
2007-11-24,66
2007-11-25,67
2007-11-26,68
2007-11-27,69
2007-11-28,71
2007-11-29,72
2007-11-30,73
2007-12-01,75
2007-12-02,76
2007-12-03,78
2007-12-04,79
2007-12-05,81
2007-12-06,82
2007-12-07,84
2007-12-08,86
2007-12-09,84
2007-12-10,83
2007-12-11,82
2007-12-12,80
2007-12-13,79
2007-12-14,78
2007-12-15,77
2007-12-16,74
2007-12-17,71
2007-12-18,68
2007-12-19,65
2007-12-20,62
2007-12-21,59
2007-12-22,56
2007-12-23,56
2007-12-24,56
2007-12-25,56
2007-12-26,56
2007-12-27,56
2007-12-28,56
2007-12-29,56
2007-12-30,56
2007-12-31,56
2008-01-01,56
2008-01-02,56
2008-01-03,56
2008-01-04,56
2008-01-05,56
2008-01-06,56
2008-01-07,56
2008-01-08,56
2008-01-09,56
2008-01-10,56
2008-01-11,56
2008-01-12,56
2008-01-13,60
2008-01-14,64
2008-01-15,68
2008-01-16,72
2008-01-17,76
2008-01-18,80
2008-01-19,83
2008-01-20,80
2008-01-21,75
2008-01-22,72
2008-01-23,68
2008-01-24,65
2008-01-25,61
2008-01-26,58
2008-01-27,58
2008-02-03,59
2008-02-04,60
2008-02-05,61
2008-02-06,62
2008-02-07,63
2008-02-08,64
2008-02-09,65
2008-02-10,65
2008-02-11,66
2008-02-12,67
2008-02-13,67
2008-02-14,68
2008-02-15,69
2008-02-16,70
2008-02-17,70
2008-02-18,71
