Date,Esco Corp
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,3
2013-01-03,6
2013-01-04,9
2013-01-05,12
2013-01-06,16
2013-01-07,19
2013-01-08,22
2013-01-09,25
2013-01-10,29
2013-01-11,32
2013-01-12,35
2013-01-13,38
2013-01-14,41
2013-01-15,45
2013-01-16,48
2013-01-17,51
2013-01-18,54
2013-01-19,58
2013-01-20,61
2013-01-21,64
2013-01-22,67
2013-01-23,70
2013-01-24,74
2013-01-25,77
2013-01-26,80
2013-01-27,83
2013-01-28,87
2013-01-29,90
2013-01-30,93
2013-01-31,96
2013-02-01,100
2013-02-02,98
2013-02-03,97
2013-02-04,96
2013-02-05,95
2013-02-06,93
2013-02-07,92
2013-02-08,91
2013-02-09,90
2013-02-10,88
2013-02-11,87
2013-02-12,86
2013-02-13,85
2013-02-14,83
2013-02-15,82
2013-02-16,81
2013-02-17,80
2013-02-18,78
2013-02-19,77
2013-02-20,76
2013-02-21,75
2013-02-22,73
2013-02-23,72
2013-02-24,71
2013-02-25,70
2013-02-26,68
2013-02-27,67
2013-02-28,66
2013-03-01,65
2013-03-02,64
2013-03-03,64
2013-03-04,64
2013-03-05,63
2013-03-06,63
2013-03-07,63
2013-03-08,62
2013-03-09,62
2013-03-10,62
2013-03-11,62
2013-03-12,61
2013-03-13,61
2013-03-14,61
2013-03-15,60
2013-03-16,60
2013-03-17,60
2013-03-18,60
2013-03-19,59
2013-03-20,59
2013-03-21,59
2013-03-22,58
2013-03-23,58
2013-03-24,58
2013-03-25,58
2013-03-26,57
2013-03-27,57
2013-03-28,57
2013-03-29,56
2013-03-30,56
2013-03-31,56
2013-04-01,56
2013-04-02,56
2013-04-03,56
2013-04-04,56
2013-04-05,56
2013-04-06,56
2013-04-07,56
2013-04-08,56
2013-04-09,57
2013-04-10,57
2013-04-11,57
2013-04-12,57
2013-04-13,57
2013-04-14,57
2013-04-15,57
2013-04-16,58
2013-04-17,58
2013-04-18,58
2013-04-19,58
2013-04-20,58
2013-04-21,58
2013-04-22,58
2013-04-23,58
2013-04-24,59
2013-04-25,59
2013-04-26,59
2013-04-27,59
2013-04-28,59
2013-04-29,59
2013-04-30,59
2013-05-01,60
2013-05-02,60
2013-05-03,60
2013-05-04,61
2013-05-05,61
2013-05-06,62
2013-05-07,62
2013-05-08,62
2013-05-09,63
2013-05-10,63
2013-05-11,64
2013-05-12,64
2013-05-13,65
2013-05-14,65
2013-05-15,65
2013-05-16,66
2013-05-17,66
2013-05-18,67
2013-05-19,67
2013-05-20,67
2013-05-21,68
2013-05-22,68
2013-05-23,69
2013-05-24,69
