Date,Era Group
2012-04-01,100
2012-04-02,99
2012-04-03,98
2012-04-04,98
2012-04-05,97
2012-04-06,96
2012-04-07,96
2012-04-08,95
2012-04-09,94
2012-04-10,94
2012-04-11,93
2012-04-12,92
2012-04-13,92
2012-04-14,91
2012-04-15,90
2012-04-16,90
2012-04-17,89
2012-04-18,88
2012-04-19,88
2012-04-20,87
2012-04-21,86
2012-04-22,86
2012-04-23,85
2012-04-24,84
2012-04-25,84
2012-04-26,83
2012-04-27,82
2012-04-28,82
2012-04-29,81
2012-04-30,80
2012-05-01,80
2012-05-02,80
2012-05-03,80
2012-05-04,80
2012-05-05,80
2012-05-06,80
2012-05-07,80
2012-05-08,80
2012-05-09,80
2012-05-10,80
2012-05-11,80
2012-05-12,80
2012-05-13,80
2012-05-14,80
2012-05-15,80
2012-05-16,80
2012-05-17,80
2012-05-18,80
2012-05-19,80
2012-05-20,80
2012-05-21,80
2012-05-22,80
2012-05-23,80
2012-05-24,80
2012-05-25,80
2012-05-26,80
2012-05-27,80
2012-05-28,80
2012-05-29,80
2012-05-30,80
2012-05-31,80
2012-06-01,80
2012-06-02,77
2012-06-03,74
2012-06-04,72
2012-06-05,69
2012-06-06,66
2012-06-07,64
2012-06-08,61
2012-06-09,58
2012-06-10,56
2012-06-11,53
2012-06-12,50
2012-06-13,48
2012-06-14,45
2012-06-15,42
2012-06-16,40
2012-06-17,37
2012-06-18,34
2012-06-19,32
2012-06-20,29
2012-06-21,26
2012-06-22,24
2012-06-23,21
2012-06-24,18
2012-06-25,16
2012-06-26,13
2012-06-27,10
2012-06-28,8
2012-06-29,5
2012-06-30,2
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
