Date,VMware
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,4
2007-01-29,9
2007-01-30,14
2007-01-31,19
2007-02-01,24
2007-02-02,29
2007-02-03,34
2007-02-04,29
2007-02-05,24
2007-02-06,19
2007-02-07,14
2007-02-08,9
2007-02-09,4
2007-02-10,0
2007-02-11,0
2007-02-12,0
2007-02-13,0
2007-02-14,0
2007-02-15,0
2007-02-16,0
2007-02-17,0
2007-02-18,0
2007-02-19,0
2007-02-20,0
2007-02-21,0
2007-02-22,0
2007-02-23,0
2007-02-24,0
2007-02-25,0
2007-02-26,0
2007-02-27,0
2007-02-28,0
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,0
2007-04-03,0
2007-04-04,0
2007-04-05,0
2007-04-06,0
2007-04-07,0
2007-04-08,0
2007-04-09,0
2007-04-10,0
2007-04-11,0
2007-04-12,0
2007-04-13,0
2007-04-14,0
2007-04-15,0
2007-04-16,0
2007-04-17,0
2007-04-18,0
2007-04-19,0
2007-04-20,0
2007-04-21,0
2007-04-22,0
2007-04-23,0
2007-04-24,0
2007-04-25,0
2007-04-26,0
2007-04-27,0
2007-04-28,0
2007-04-29,0
2007-04-30,0
2007-05-01,0
2007-05-02,0
2007-05-03,0
2007-05-04,0
2007-05-05,0
2007-05-06,0
2007-05-07,0
2007-05-08,0
2007-05-09,0
2007-05-10,0
2007-05-11,0
2007-05-12,0
2007-05-13,3
2007-05-14,7
2007-05-15,11
2007-05-16,15
2007-05-17,19
2007-05-18,23
2007-05-19,27
2007-05-20,23
2007-05-21,19
2007-05-22,15
2007-05-23,11
2007-05-24,7
2007-05-25,3
2007-05-26,0
2007-05-27,0
2007-05-28,0
2007-05-29,0
2007-05-30,0
2007-05-31,0
2007-06-01,0
2007-06-02,0
2007-06-03,0
2007-06-04,0
2007-06-05,0
2007-06-06,0
2007-06-07,0
2007-06-08,0
2007-06-09,0
2007-06-10,0
2007-06-11,0
2007-06-12,0
2007-06-13,0
2007-06-14,0
2007-06-15,0
2007-06-16,0
2007-06-17,0
2007-06-18,0
2007-06-19,0
2007-06-20,0
2007-06-21,0
2007-06-22,0
2007-06-23,0
2007-06-24,0
2007-06-25,0
2007-06-26,0
2007-06-27,0
2007-06-28,0
2007-06-29,0
2007-06-30,0
2007-07-01,0
2007-07-02,0
2007-07-03,0
2007-07-04,0
2007-07-05,0
2007-07-06,0
2007-07-07,0
2007-07-08,4
2007-07-09,8
2007-07-10,12
2007-07-11,17
2007-07-12,21
2007-07-13,25
2007-07-14,30
2007-07-15,30
2007-07-16,29
2007-07-17,29
2007-07-18,29
2007-07-19,29
2007-07-20,29
2007-07-21,29
2007-07-22,30
2007-07-23,31
2007-07-24,31
2007-07-25,32
2007-07-26,32
2007-07-27,33
2007-07-28,33
2007-07-29,34
2007-07-30,35
2007-07-31,35
2007-08-01,36
2007-08-02,36
2007-08-03,37
2007-08-04,38
2007-08-05,42
2007-08-06,45
2007-08-07,49
2007-08-08,54
2007-08-09,58
2007-08-10,63
2007-08-11,67
2007-08-12,72
2007-08-13,78
2007-08-14,83
2007-08-15,87
2007-08-16,92
2007-08-17,96
2007-08-18,101
2007-08-19,93
2007-08-20,84
2007-08-21,76
2007-08-22,68
2007-08-23,60
2007-08-24,52
2007-08-25,44
2007-08-26,43
2007-08-27,41
2007-08-28,39
2007-08-29,37
2007-08-30,36
2007-08-31,34
2007-09-01,33
2007-09-02,36
2007-09-03,39
2007-09-04,42
2007-09-05,45
2007-09-06,49
2007-09-07,52
2007-09-08,55
2007-09-09,52
2007-09-10,48
2007-09-11,44
2007-09-12,41
2007-09-13,38
2007-09-14,35
2007-09-15,31
2007-09-16,33
2007-09-17,35
2007-09-18,36
2007-09-19,38
2007-09-20,39
2007-09-21,41
2007-09-22,42
2007-09-23,43
2007-09-24,43
2007-09-25,44
2007-09-26,44
2007-09-27,45
2007-09-28,45
2007-09-29,46
2007-09-30,46
2007-10-07,47
2007-10-08,45
2007-10-09,43
2007-10-10,40
2007-10-11,38
2007-10-12,35
2007-10-13,33
2007-10-14,35
2007-10-15,38
2007-10-16,40
2007-10-17,42
2007-10-18,45
2007-10-19,47
