Date,CDW Corp
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,2
2013-02-03,5
2013-02-04,7
2013-02-05,10
2013-02-06,13
2013-02-07,15
2013-02-08,18
2013-02-09,20
2013-02-10,23
2013-02-11,26
2013-02-12,28
2013-02-13,31
2013-02-14,33
2013-02-15,36
2013-02-16,39
2013-02-17,41
2013-02-18,44
2013-02-19,46
2013-02-20,49
2013-02-21,52
2013-02-22,54
2013-02-23,57
2013-02-24,59
2013-02-25,62
2013-02-26,65
2013-02-27,67
2013-02-28,70
2013-03-01,73
2013-03-02,72
2013-03-03,71
2013-03-04,70
2013-03-05,69
2013-03-06,68
2013-03-07,67
2013-03-08,66
2013-03-09,65
2013-03-10,64
2013-03-11,63
2013-03-12,62
2013-03-13,61
2013-03-14,60
2013-03-15,59
2013-03-16,58
2013-03-17,58
2013-03-18,57
2013-03-19,56
2013-03-20,55
2013-03-21,54
2013-03-22,53
2013-03-23,52
2013-03-24,51
2013-03-25,50
2013-03-26,49
2013-03-27,48
2013-03-28,47
2013-03-29,46
2013-03-30,45
2013-03-31,44
2013-04-01,44
2013-04-02,44
2013-04-03,44
2013-04-04,44
2013-04-05,44
2013-04-06,44
2013-04-07,44
2013-04-08,44
2013-04-09,44
2013-04-10,44
2013-04-11,44
2013-04-12,44
