Date,Yelp!
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,2
2011-06-20,5
2011-06-21,8
2011-06-22,11
2011-06-23,14
2011-06-24,17
2011-06-25,20
2011-06-26,17
2011-06-27,14
2011-06-28,11
2011-06-29,8
2011-06-30,5
2011-07-01,2
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,2
2011-08-01,5
2011-08-02,8
2011-08-03,11
2011-08-04,14
2011-08-05,17
2011-08-06,20
2011-08-07,17
2011-08-08,14
2011-08-09,11
2011-08-10,8
2011-08-11,5
2011-08-12,2
2011-08-13,0
2011-08-14,0
2011-08-15,0
2011-08-16,0
2011-08-17,0
2011-08-18,0
2011-08-19,0
2011-08-20,0
2011-08-21,0
2011-08-22,0
2011-08-23,0
2011-08-24,0
2011-08-25,0
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,2
2011-09-19,5
2011-09-20,8
2011-09-21,11
2011-09-22,14
2011-09-23,17
2011-09-24,20
2011-09-25,19
2011-09-26,19
2011-09-27,19
2011-09-28,18
2011-09-29,18
2011-09-30,18
2011-10-01,18
2011-10-02,18
2011-10-03,18
2011-10-04,19
2011-10-05,19
2011-10-06,20
2011-10-07,20
2011-10-08,21
2011-10-09,20
2011-10-10,20
2011-10-11,20
2011-10-12,19
2011-10-13,19
2011-10-14,19
2011-10-15,19
2011-10-16,19
2011-10-17,19
2011-10-18,19
2011-10-19,19
2011-10-20,19
2011-10-21,19
2011-10-22,20
2011-10-23,20
2011-10-24,20
2011-10-25,20
2011-10-26,20
2011-10-27,20
2011-10-28,20
2011-10-29,21
2011-10-30,21
2011-10-31,21
2011-11-01,21
2011-11-02,21
2011-11-03,21
2011-11-04,21
2011-11-05,22
2011-11-06,22
2011-11-07,22
2011-11-08,22
2011-11-09,22
2011-11-10,22
2011-11-11,22
2011-11-12,23
2011-11-13,22
2011-11-14,21
2011-11-15,21
2011-11-16,20
2011-11-17,20
2011-11-18,19
2011-11-19,19
2011-11-20,19
2011-11-21,19
