Date,Goldman Sachs
2010-05-01,76
2010-05-02,72
2010-05-03,64
2010-05-04,60
2010-05-05,53
2010-05-06,48
2010-05-07,42
2010-05-08,38
2010-05-09,34
2010-05-10,33
2010-05-11,32
2010-05-12,31
2010-05-13,29
2010-05-14,28
2010-05-15,29
2010-05-16,26
2010-05-17,25
2010-05-18,25
2010-05-19,24
2010-05-20,24
2010-05-21,24
2010-05-22,24
2010-05-23,22
2010-05-24,21
2010-05-25,21
2010-05-26,20
2010-05-27,20
2010-05-28,19
2010-05-29,19
2010-05-30,19
2010-05-31,18
2010-06-01,18
2010-06-02,18
2010-06-03,18
2010-06-04,18
2010-06-05,19
2010-06-06,18
2010-06-07,18
2010-06-08,19
2010-06-09,20
2010-06-10,20
2010-06-11,21
2010-06-12,21
2010-06-13,20
2010-06-14,20
2010-06-15,19
2010-06-16,19
2010-06-17,18
2010-06-18,18
2010-06-19,19
2010-06-20,17
2010-06-21,17
2010-06-22,17
2010-06-23,16
2010-06-24,16
2010-06-25,16
2010-06-26,17
2010-06-27,16
2010-06-28,16
2010-06-29,16
2010-06-30,16
2010-07-01,16
2010-07-02,16
2010-07-03,17
2010-07-04,15
2010-07-05,15
2010-07-06,15
2010-07-07,15
2010-07-08,15
2010-07-09,15
2010-07-10,16
2010-07-11,16
2010-07-12,16
2010-07-13,17
2010-07-14,18
2010-07-15,19
2010-07-16,20
2010-07-17,23
2010-07-18,21
2010-07-19,21
2010-07-20,21
2010-07-21,22
2010-07-22,22
2010-07-23,22
2010-07-24,23
2010-07-25,21
2010-07-26,20
2010-07-27,20
2010-07-28,19
2010-07-29,19
2010-07-30,18
2010-07-31,18
2010-08-01,18
2010-08-02,18
2010-08-03,18
2010-08-04,18
2010-08-05,18
2010-08-06,18
2010-08-07,19
2010-08-08,17
2010-08-09,17
2010-08-10,17
2010-08-11,16
2010-08-12,16
2010-08-13,16
2010-08-14,16
2010-08-15,16
2010-08-16,16
2010-08-17,16
2010-08-18,16
2010-08-19,16
2010-08-20,16
2010-08-21,16
2010-08-22,15
2010-08-23,15
2010-08-24,15
2010-08-25,15
2010-08-26,15
2010-08-27,15
2010-08-28,16
2010-08-29,15
2010-08-30,15
2010-08-31,15
2010-09-01,15
2010-09-02,15
2010-09-03,15
2010-09-04,16
2010-09-05,15
2010-09-06,15
2010-09-07,15
2010-09-08,15
2010-09-09,15
2010-09-10,15
2010-09-11,15
2010-09-12,15
2010-09-13,15
2010-09-14,16
2010-09-15,16
2010-09-16,17
2010-09-17,17
2010-09-18,19
2010-09-19,18
2010-09-20,17
2010-09-21,17
2010-09-22,17
2010-09-23,17
2010-09-24,17
2010-09-25,18
2010-09-26,17
2010-09-27,17
2010-09-28,17
2010-09-29,17
2010-09-30,17
2010-10-01,18
2010-10-02,19
2010-10-03,18
2010-10-04,18
2010-10-05,18
2010-10-06,18
2010-10-07,18
2010-10-08,19
2010-10-09,20
2010-10-10,18
2010-10-11,18
2010-10-12,18
2010-10-13,18
2010-10-14,18
2010-10-15,18
2010-10-16,19
2010-10-17,18
2010-10-18,18
2010-10-19,18
2010-10-20,19
2010-10-21,19
2010-10-22,20
2010-10-23,21
2010-10-24,19
2010-10-25,19
2010-10-26,19
2010-10-27,19
2010-10-28,18
2010-10-29,18
2010-10-30,19
2010-10-31,18
2010-11-01,17
2010-11-02,17
2010-11-03,17
2010-11-04,17
2010-11-05,17
2010-11-06,17
2010-11-07,18
2010-11-08,17
2010-11-09,18
2010-11-10,18
2010-11-11,18
2010-11-12,19
2010-11-13,19
2010-11-14,19
2010-11-15,19
2010-11-16,19
2010-11-17,20
2010-11-18,20
2010-11-19,21
2010-11-20,22
2010-11-21,20
2010-11-22,19
2010-11-23,19
2010-11-24,18
2010-11-25,18
2010-11-26,16
2010-11-27,16
2010-11-28,16
2010-11-29,16
2010-11-30,16
2010-12-01,17
2010-12-02,17
2010-12-03,17
2010-12-04,19
2010-12-05,18
2010-12-06,18
2010-12-07,18
2010-12-08,18
2010-12-09,18
2010-12-10,18
2010-12-11,19
2010-12-12,18
2010-12-13,18
2010-12-14,18
2010-12-15,18
2010-12-16,18
2010-12-17,18
2010-12-18,19
2010-12-19,17
2010-12-20,16
2010-12-21,16
2010-12-22,16
2010-12-23,15
2010-12-24,15
2010-12-25,14
2010-12-26,14
2010-12-27,13
2010-12-28,13
2010-12-29,13
2010-12-30,13
2010-12-31,13
2011-01-01,13
2011-01-02,14
2011-01-03,16
2011-01-04,17
2011-01-05,19
2011-01-06,20
2011-01-07,22
2011-01-08,26
2011-01-09,23
2011-01-10,22
2011-01-11,22
2011-01-12,21
2011-01-13,21
2011-01-14,20
2011-01-15,20
2011-01-16,21
2011-01-17,21
2011-01-18,22
2011-01-19,22
2011-01-20,24
2011-01-21,25
2011-01-22,26
2011-01-23,24
2011-01-24,23
2011-01-25,22
2011-01-26,21
2011-01-27,20
2011-01-28,20
2011-01-29,19
2011-01-30,19
2011-01-31,18
2011-02-01,18
2011-02-02,18
2011-02-03,18
2011-02-04,18
2011-02-05,18
2011-02-06,17
2011-02-07,17
2011-02-08,17
2011-02-09,17
2011-02-10,16
2011-02-11,16
2011-02-12,17
2011-02-13,16
2011-02-14,16
2011-02-15,16
2011-02-16,16
2011-02-17,16
2011-02-18,16
2011-02-19,17
2011-02-20,16
2011-02-21,16
2011-02-22,16
2011-02-23,16
2011-02-24,16
2011-02-25,16
2011-02-26,18
2011-02-27,16
2011-02-28,16
2011-03-01,16
2011-03-02,16
2011-03-03,16
2011-03-04,16
2011-03-05,17
2011-03-06,16
2011-03-07,16
2011-03-08,16
2011-03-09,16
2011-03-10,16
2011-03-11,16
2011-03-12,17
2011-03-13,15
2011-03-14,15
2011-03-15,15
2011-03-16,14
2011-03-17,14
2011-03-18,14
2011-03-19,15
2011-03-20,14
2011-03-21,14
2011-03-22,14
2011-03-23,15
2011-03-24,15
2011-03-25,16
2011-03-26,17
2011-03-27,16
2011-03-28,16
2011-03-29,16
2011-03-30,16
2011-03-31,16
2011-05-01,14
2011-05-02,14
2011-05-03,14
2011-05-04,14
2011-05-05,14
2011-05-06,14
2011-05-07,15
2011-05-08,14
2011-05-09,14
2011-05-10,15
2011-05-11,15
2011-05-12,16
2011-05-13,16
2011-05-14,18
2011-05-15,16
2011-05-16,16
2011-05-17,16
2011-05-18,16
2011-05-19,16
2011-05-20,16
2011-05-21,17
2011-05-22,16
2011-05-23,16
2011-05-24,16
2011-05-25,16
2011-05-26,16
2011-05-27,17
2011-05-28,18
2011-05-29,17
2011-05-30,17
2011-05-31,17
2011-06-01,17
2011-06-02,17
2011-06-03,17
2011-06-04,18
2011-06-05,17
2011-06-06,16
2011-06-07,16
2011-06-08,16
2011-06-09,15
2011-06-10,15
2011-06-11,15
2011-06-12,15
2011-06-13,15
2011-06-14,15
2011-06-15,15
2011-06-16,16
2011-06-17,15
2011-06-18,17
2011-06-19,16
2011-06-20,16
2011-06-21,16
2011-06-22,16
2011-06-23,16
2011-06-24,16
2011-06-25,17
2011-06-26,15
2011-06-27,15
2011-06-28,15
2011-06-29,15
