Date,William Blair & Company
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,0
2007-01-29,0
2007-01-30,0
2007-01-31,0
2007-02-01,0
2007-02-02,3
2007-02-03,7
2007-02-04,10
2007-02-05,14
2007-02-06,17
2007-02-07,21
2007-02-08,25
2007-02-09,28
2007-02-10,32
2007-02-11,35
2007-02-12,39
2007-02-13,42
2007-02-14,46
2007-02-15,50
2007-02-16,53
2007-02-17,57
2007-02-18,60
2007-02-19,64
2007-02-20,67
2007-02-21,71
2007-02-22,75
2007-02-23,78
2007-02-24,82
2007-02-25,85
2007-02-26,89
2007-02-27,92
2007-02-28,96
2007-03-01,100
2007-03-02,96
2007-03-03,93
2007-03-04,90
2007-03-05,87
2007-03-06,83
2007-03-07,80
2007-03-08,77
2007-03-09,74
2007-03-10,70
2007-03-11,67
2007-03-12,64
2007-03-13,61
2007-03-14,58
2007-03-15,54
2007-03-16,51
2007-03-17,48
2007-03-18,45
2007-03-19,41
2007-03-20,38
2007-03-21,35
2007-03-22,32
2007-03-23,29
2007-03-24,25
2007-03-25,22
2007-03-26,19
2007-03-27,16
2007-03-28,12
2007-03-29,9
2007-03-30,6
2007-03-31,3
2007-04-01,0
2007-04-02,0
2007-04-03,0
2007-04-04,0
2007-04-05,0
2007-04-06,0
2007-04-07,0
2007-04-08,0
2007-04-09,0
2007-04-10,0
2007-04-11,0
2007-04-12,0
2007-04-13,0
2007-04-14,0
2007-04-15,0
2007-04-16,0
2007-04-17,0
2007-04-18,0
2007-04-19,0
2007-04-20,0
2007-04-21,0
2007-04-22,0
2007-04-23,0
2007-04-24,0
2007-04-25,0
2007-04-26,0
2007-04-27,0
2007-04-28,0
2007-04-29,0
2007-04-30,0
2007-05-01,0
2007-05-02,0
2007-05-03,0
2007-05-04,0
2007-05-05,0
2007-05-06,0
2007-05-07,0
2007-05-08,0
2007-05-09,0
2007-05-10,0
2007-05-11,0
2007-05-12,0
2007-05-13,0
2007-05-14,0
2007-05-15,0
2007-05-16,0
2007-05-17,0
2007-05-18,0
2007-05-19,0
2007-05-20,0
2007-05-21,0
2007-05-22,0
2007-05-23,0
2007-05-24,0
2007-05-25,0
2007-05-26,0
2007-05-27,0
2007-05-28,0
2007-05-29,0
2007-05-30,0
