Date,FBR Capital Markets
2006-07-01,0
2006-07-02,0
2006-07-03,0
2006-07-04,0
2006-07-05,0
2006-07-06,0
2006-07-07,0
2006-07-08,0
2006-07-09,0
2006-07-10,0
2006-07-11,0
2006-07-12,0
2006-07-13,0
2006-07-14,0
2006-07-15,0
2006-07-16,0
2006-07-17,0
2006-07-18,0
2006-07-19,0
2006-07-20,0
2006-07-21,0
2006-07-22,0
2006-07-23,0
2006-07-24,0
2006-07-25,0
2006-07-26,0
2006-07-27,0
2006-07-28,0
2006-07-29,0
2006-07-30,0
2006-07-31,0
2006-08-01,0
2006-08-02,0
2006-08-03,0
2006-08-04,0
2006-08-05,0
2006-08-06,0
2006-08-07,0
2006-08-08,0
2006-08-09,0
2006-08-10,0
2006-08-11,0
2006-08-12,0
2006-08-13,0
2006-08-14,0
2006-08-15,0
2006-08-16,0
2006-08-17,0
2006-08-18,0
2006-08-19,0
2006-08-20,0
2006-08-21,0
2006-08-22,0
2006-08-23,0
2006-08-24,0
2006-08-25,0
2006-08-26,0
2006-08-27,0
2006-08-28,0
2006-08-29,0
2006-08-30,0
2006-08-31,0
2006-09-01,0
2006-09-02,1
2006-09-03,2
2006-09-04,4
2006-09-05,5
2006-09-06,6
2006-09-07,8
2006-09-08,9
2006-09-09,10
2006-09-10,12
2006-09-11,13
2006-09-12,14
2006-09-13,16
2006-09-14,17
2006-09-15,18
2006-09-16,20
2006-09-17,21
2006-09-18,22
2006-09-19,24
2006-09-20,25
2006-09-21,26
2006-09-22,28
2006-09-23,29
2006-09-24,30
2006-09-25,32
2006-09-26,33
2006-09-27,34
2006-09-28,36
2006-09-29,37
2006-09-30,38
2006-10-01,40
2006-10-02,40
2006-10-03,40
2006-10-04,40
2006-10-05,40
2006-10-06,40
2006-10-07,40
2006-10-08,40
2006-10-09,40
2006-10-10,40
2006-10-11,40
2006-10-12,40
2006-10-13,40
2006-10-14,40
2006-10-15,40
2006-10-16,40
2006-10-17,41
2006-10-18,41
2006-10-19,41
2006-10-20,41
2006-10-21,41
2006-10-22,41
2006-10-23,41
2006-10-24,41
2006-10-25,41
2006-10-26,41
2006-10-27,41
2006-10-28,41
2006-10-29,41
2006-10-30,41
2006-10-31,41
