Date,Goldman Sachs
2009-12-01,19
2009-12-02,20
2009-12-03,20
2009-12-04,20
2009-12-05,22
2009-12-06,21
2009-12-07,21
2009-12-08,21
2009-12-09,22
2009-12-10,21
2009-12-11,21
2009-12-12,23
2009-12-13,22
2009-12-14,21
2009-12-15,20
2009-12-16,20
2009-12-17,20
2009-12-18,19
2009-12-19,20
2009-12-20,18
2009-12-21,18
2009-12-22,18
2009-12-23,17
2009-12-24,18
2009-12-25,17
2009-12-26,17
2009-12-27,16
2009-12-28,16
2009-12-29,16
2009-12-30,15
2009-12-31,15
2010-01-01,15
2010-01-02,15
2010-01-03,15
2010-01-04,16
2010-01-05,17
2010-01-06,18
2010-01-07,18
2010-01-08,19
2010-01-09,21
2010-01-10,20
2010-01-11,20
2010-01-12,21
2010-01-13,21
2010-01-14,22
2010-01-15,23
2010-01-16,25
2010-01-17,23
2010-01-18,24
2010-01-19,24
2010-01-20,25
2010-01-21,25
2010-01-22,27
2010-01-23,30
2010-01-24,26
2010-01-25,25
2010-01-26,25
2010-01-27,24
2010-01-28,24
2010-01-29,23
2010-01-30,24
2010-01-31,23
2010-02-01,22
2010-02-02,22
2010-02-03,22
2010-02-04,21
2010-02-05,21
2010-02-06,22
2010-02-07,20
2010-02-08,20
2010-02-09,20
2010-02-10,20
2010-02-11,20
2010-02-12,20
2010-02-13,21
2010-02-14,20
2010-02-15,20
2010-02-16,20
2010-02-17,21
2010-02-18,21
2010-02-19,21
2010-02-20,23
2010-02-21,22
2010-02-22,22
2010-02-23,22
2010-02-24,23
2010-02-25,22
2010-02-26,22
2010-02-27,25
2010-02-28,23
2010-03-01,22
2010-03-02,22
2010-03-03,22
2010-03-04,22
2010-03-05,22
2010-03-06,23
2010-03-07,21
2010-03-08,21
2010-03-09,21
2010-03-10,21
2010-03-11,20
2010-03-12,20
2010-03-13,21
2010-03-14,19
2010-03-15,19
2010-03-16,19
2010-03-17,18
2010-03-18,18
2010-03-19,18
2010-03-20,18
2010-03-21,19
2010-03-22,18
2010-03-23,18
2010-03-24,18
2010-03-25,18
2010-03-26,19
2010-03-27,20
2010-03-28,18
2010-03-29,18
2010-03-30,18
2010-03-31,18
2010-04-01,18
2010-04-02,18
2010-04-03,18
2010-04-04,18
2010-04-05,18
2010-04-06,18
2010-04-07,18
2010-04-08,18
2010-04-09,18
2010-04-10,19
2010-04-11,22
2010-04-12,26
2010-04-13,30
2010-04-14,35
2010-04-15,40
2010-04-16,43
2010-04-17,50
2010-04-18,59
2010-04-19,62
2010-04-20,70
2010-04-21,79
2010-04-22,93
2010-04-23,98
2010-04-24,103
2010-04-25,97
2010-04-26,94
2010-04-27,91
2010-04-28,90
2010-04-29,93
2010-04-30,82
2010-05-01,84
2010-05-02,74
2010-05-03,67
2010-05-04,62
2010-05-05,56
2010-05-06,50
2010-05-07,44
2010-05-08,40
2010-05-09,36
2010-05-10,34
2010-05-11,33
2010-05-12,32
2010-05-13,30
2010-05-14,28
2010-05-15,29
2010-05-16,26
2010-05-17,25
2010-05-18,25
2010-05-19,24
2010-05-20,24
2010-05-21,23
2010-05-22,24
2010-05-23,22
2010-05-24,21
2010-05-25,21
2010-05-26,20
2010-05-27,20
2010-05-28,19
2010-05-29,19
2010-05-30,18
2010-05-31,18
2010-06-01,18
2010-06-02,18
2010-06-03,18
2010-06-04,18
2010-06-05,19
2010-06-06,18
2010-06-07,18
2010-06-08,19
2010-06-09,19
2010-06-10,20
2010-06-11,21
2010-06-12,22
2010-06-13,20
2010-06-14,20
2010-06-15,19
2010-06-16,19
2010-06-17,18
2010-06-18,18
2010-06-19,19
2010-06-20,17
2010-06-21,17
2010-06-22,17
2010-06-23,16
2010-06-24,16
2010-06-25,16
2010-06-26,16
2010-06-27,16
2010-06-28,16
2010-06-29,16
2010-06-30,16
2010-07-01,16
2010-07-02,16
2010-07-03,17
2010-07-04,15
2010-07-05,15
2010-07-06,15
2010-07-07,15
2010-07-08,15
2010-07-09,15
2010-07-10,16
2010-07-11,15
2010-07-12,16
2010-07-13,17
2010-07-14,18
2010-07-15,19
2010-07-16,20
2010-07-17,23
2010-07-18,21
2010-07-19,21
2010-07-20,21
2010-07-21,22
2010-07-22,22
2010-07-23,22
2010-07-24,23
2010-07-25,21
2010-07-26,20
2010-07-27,20
2010-07-28,19
2010-07-29,19
2010-07-30,18
2010-07-31,19
2010-08-01,18
2010-08-02,18
2010-08-03,18
2010-08-04,18
2010-08-05,19
2010-08-06,18
2010-08-07,19
2010-08-08,19
2010-08-09,18
2010-08-10,18
2010-08-11,18
2010-08-12,17
2010-08-13,17
2010-08-14,17
2010-08-15,16
2010-08-16,16
2010-08-17,16
2010-08-18,16
2010-08-19,16
2010-08-20,16
2010-08-21,17
2010-08-22,15
2010-08-23,15
2010-08-24,15
2010-08-25,15
2010-08-26,15
2010-08-27,15
2010-08-28,15
2010-08-29,15
2010-08-30,15
2010-08-31,15
2010-09-01,15
2010-09-02,15
2010-09-03,15
2010-09-04,16
2010-09-05,15
2010-09-06,15
2010-09-07,15
2010-09-08,15
2010-09-09,15
2010-09-10,16
2010-09-11,17
2010-09-12,16
2010-09-13,16
2010-09-14,16
2010-09-15,17
2010-09-16,17
2010-09-17,18
2010-09-18,19
2010-09-19,18
2010-09-20,18
2010-09-21,18
2010-09-22,18
2010-09-23,18
2010-09-24,18
2010-09-25,19
2010-09-26,18
2010-09-27,18
2010-09-28,18
2010-09-29,18
2010-09-30,18
2010-10-01,18
2010-10-02,18
2010-10-03,18
2010-10-04,18
2010-10-05,18
2010-10-06,19
2010-10-07,19
2010-10-08,20
2010-10-09,21
2010-10-10,19
2010-10-11,19
2010-10-12,19
2010-10-13,18
2010-10-14,18
2010-10-15,18
2010-10-16,19
2010-10-17,18
2010-10-18,18
2010-10-19,18
2010-10-20,19
2010-10-21,19
2010-10-22,20
2010-10-23,21
2010-10-24,19
2010-10-25,19
2010-10-26,19
2010-10-27,19
2010-10-28,19
2010-10-29,19
2010-10-30,20
2010-10-31,18
2010-11-01,18
2010-11-02,18
2010-11-03,18
2010-11-04,18
2010-11-05,18
2010-11-06,18
2010-11-07,19
2010-11-08,18
2010-11-09,18
2010-11-10,18
2010-11-11,18
2010-11-12,18
2010-11-13,19
2010-11-14,20
2010-11-15,19
2010-11-16,20
2010-11-17,20
2010-11-18,20
2010-11-19,21
2010-11-20,22
2010-11-21,20
2010-11-22,19
2010-11-23,19
2010-11-24,19
2010-11-25,18
2010-11-26,17
2010-11-27,17
2010-11-28,17
2010-11-29,17
2010-11-30,17
2010-12-01,17
2010-12-02,17
2010-12-03,17
