Date,Barclays Capital
2010-12-01,95
2010-12-02,96
2010-12-03,95
2010-12-04,98
2010-12-05,96
2010-12-06,92
2010-12-07,91
2010-12-08,90
2010-12-09,88
2010-12-10,86
2010-12-11,87
2010-12-12,86
2010-12-13,85
2010-12-14,87
2010-12-15,86
2010-12-16,86
2010-12-17,86
2010-12-18,89
2010-12-19,89
2010-12-20,86
2010-12-21,86
2010-12-22,86
2010-12-23,86
2010-12-24,88
2010-12-25,96
2010-12-26,86
2010-12-27,87
2010-12-28,88
2010-12-29,88
2010-12-30,89
2010-12-31,90
2011-01-01,94
2011-01-02,91
2011-01-03,91
2011-01-04,92
2011-01-05,93
2011-01-06,94
2011-01-07,93
2011-01-08,97
2011-01-09,95
2011-01-10,91
2011-01-11,91
2011-01-12,90
2011-01-13,88
2011-01-14,87
2011-01-15,87
2011-01-16,87
2011-01-17,85
2011-01-18,86
2011-01-19,86
2011-01-20,85
2011-01-21,85
2011-01-22,86
2011-01-23,88
2011-01-24,87
2011-01-25,88
2011-01-26,90
2011-01-27,91
2011-01-28,92
2011-01-29,97
2011-01-30,96
2011-01-31,94
2011-02-01,94
2011-02-02,96
2011-02-03,96
2011-02-04,96
2011-02-05,96
2011-02-06,97
2011-02-07,94
2011-02-08,94
2011-02-09,93
2011-02-10,91
2011-02-11,90
2011-02-12,89
2011-02-13,91
2011-02-14,87
2011-02-15,87
2011-02-16,88
2011-02-17,86
2011-02-18,85
2011-02-19,86
2011-02-20,88
2011-02-21,84
2011-02-22,84
2011-02-23,83
2011-02-24,83
2011-02-25,83
2011-02-26,85
2011-02-27,85
2011-02-28,85
2011-03-01,86
2011-03-02,88
2011-03-03,89
2011-03-04,89
2011-03-05,94
2011-03-06,90
2011-03-07,89
2011-03-08,90
2011-03-09,87
2011-03-10,86
2011-03-11,85
2011-03-12,89
2011-03-13,85
2011-03-14,82
2011-03-15,82
2011-03-16,82
2011-03-17,81
2011-03-18,80
2011-03-19,82
2011-03-20,81
2011-03-21,81
2011-03-22,83
2011-03-23,83
2011-03-24,83
2011-03-25,84
2011-03-26,89
2011-03-27,88
2011-03-28,86
2011-03-29,86
2011-03-30,87
2011-03-31,87
2011-04-01,88
2011-04-02,92
2011-04-03,91
2011-04-04,88
2011-04-05,88
2011-04-06,88
2011-04-07,87
2011-04-08,87
2011-04-09,89
2011-04-10,87
2011-04-11,86
2011-04-12,88
2011-04-13,87
2011-04-14,86
2011-04-15,86
2011-04-16,88
2011-04-17,87
2011-04-18,85
2011-04-19,87
2011-04-20,85
2011-04-21,85
2011-04-22,90
2011-04-23,85
2011-04-24,89
2011-04-25,87
2011-04-26,88
2011-04-27,90
2011-04-28,91
2011-04-29,103
2011-04-30,94
2011-05-01,94
2011-05-02,93
2011-05-03,92
2011-05-04,93
2011-05-05,91
2011-05-06,90
2011-05-07,91
2011-05-08,90
2011-05-09,90
2011-05-10,90
2011-05-11,91
2011-05-12,90
2011-05-13,90
2011-05-14,91
2011-05-15,91
2011-05-16,88
2011-05-17,89
2011-05-18,86
2011-05-19,86
2011-05-20,84
2011-05-21,87
2011-05-22,84
2011-05-23,84
2011-05-24,86
2011-05-25,85
2011-05-26,86
2011-05-27,86
2011-05-28,90
2011-05-29,91
2011-05-30,86
2011-05-31,85
2011-06-01,85
2011-06-02,86
2011-06-03,85
2011-06-04,87
2011-06-05,84
2011-06-06,82
2011-06-07,82
2011-06-08,82
2011-06-09,81
2011-06-10,80
2011-06-11,83
2011-06-12,80
2011-06-13,81
2011-06-14,83
2011-06-15,82
2011-06-16,83
2011-06-17,83
2011-06-18,87
2011-06-19,86
2011-06-20,83
2011-06-21,83
2011-06-22,82
2011-06-23,82
2011-06-24,81
2011-06-25,84
2011-06-26,84
2011-06-27,83
2011-06-28,84
2011-06-29,85
2011-06-30,86
2011-07-01,87
2011-07-02,92
2011-07-03,90
2011-07-04,88
2011-07-05,89
2011-07-06,88
2011-07-07,88
2011-07-08,88
2011-07-09,91
2011-07-10,89
2011-07-11,87
2011-07-12,88
2011-07-13,86
2011-07-14,86
2011-07-15,86
2011-07-16,88
2011-07-17,87
2011-07-18,85
2011-07-19,86
2011-07-20,85
2011-07-21,85
2011-07-22,85
2011-07-23,88
2011-07-24,88
2011-07-25,86
2011-07-26,87
2011-07-27,88
2011-07-28,89
2011-07-29,90
2011-07-30,96
2011-07-31,92
2011-08-01,91
2011-08-02,93
2011-08-03,93
2011-08-04,92
2011-08-05,92
2011-08-06,96
2011-08-07,95
2011-08-08,92
2011-08-09,94
2011-08-10,92
2011-08-11,92
2011-08-12,92
2011-08-13,92
2011-08-14,95
2011-08-15,91
2011-08-16,92
2011-08-17,91
2011-08-18,89
2011-08-19,89
2011-08-20,90
2011-08-21,91
2011-08-22,90
2011-08-23,91
2011-08-24,92
2011-08-25,92
2011-08-26,93
2011-08-27,95
2011-08-28,95
2011-08-29,94
2011-08-30,93
2011-08-31,92
2011-09-01,92
2011-09-02,92
2011-09-03,95
2011-09-04,93
2011-09-05,91
2011-09-06,92
2011-09-07,90
2011-09-08,89
2011-09-09,89
2011-09-10,89
2011-09-11,92
2011-09-12,89
2011-09-13,90
2011-09-14,89
2011-09-15,89
2011-09-16,89
2011-09-17,91
2011-09-18,89
2011-09-19,89
2011-09-20,90
2011-09-21,91
2011-09-22,89
2011-09-23,89
2011-09-24,90
2011-09-25,93
2011-09-26,90
2011-09-27,92
2011-09-28,91
2011-09-29,91
2011-09-30,91
2011-10-01,95
2011-10-02,93
2011-10-03,91
2011-10-04,93
2011-10-05,92
2011-10-06,91
2011-10-07,91
2011-10-08,94
2011-10-09,91
2011-10-10,89
2011-10-11,89
2011-10-12,87
2011-10-13,86
2011-10-14,85
2011-10-15,85
2011-10-16,86
2011-10-17,85
2011-10-18,87
2011-10-19,86
2011-10-20,86
2011-10-21,87
2011-10-22,89
2011-10-23,88
2011-10-24,89
2011-10-25,91
2011-10-26,90
2011-10-27,90
2011-10-28,91
2011-10-29,93
2011-10-30,94
2011-10-31,92
2011-11-01,92
2011-11-02,95
2011-11-03,93
2011-11-04,92
2011-11-05,94
2011-11-06,94
2011-11-07,90
2011-11-08,89
2011-11-09,89
2011-11-10,87
2011-11-11,86
2011-11-12,87
2011-11-13,87
2011-11-14,85
2011-11-15,85
2011-11-16,86
2011-11-17,85
2011-11-18,85
2011-11-19,86
2011-11-20,86
2011-11-21,87
2011-11-22,89
2011-11-23,90
2011-11-24,90
2011-11-25,91
2011-11-26,93
2011-11-27,94
2011-11-28,92
2011-11-29,92
2011-11-30,91
2011-12-01,90
2011-12-02,90
2011-12-03,91
2011-12-04,91
2011-12-05,88
2011-12-06,88
2011-12-07,87
2011-12-08,87
2011-12-09,85
2011-12-10,86
2011-12-11,86
2011-12-12,85
2011-12-13,87
2011-12-14,85
2011-12-15,85
2011-12-16,85
2011-12-17,87
2011-12-18,87
2011-12-19,87
2011-12-20,89
2011-12-21,88
2011-12-22,89
2011-12-23,90
2011-12-24,97
2011-12-25,98
2011-12-26,89
2011-12-27,88
2011-12-28,87
2011-12-29,86
2011-12-30,85
2011-12-31,86
2012-01-01,88
2012-01-02,86
2012-01-03,87
2012-01-04,89
2012-01-05,90
2012-01-06,91
2012-01-07,94
2012-01-08,92
2012-01-09,89
2012-01-10,89
2012-01-11,87
2012-01-12,86
2012-01-13,85
2012-01-14,85
2012-01-15,86
2012-01-16,84
2012-01-17,85
2012-01-18,86
2012-01-19,85
2012-01-20,85
2012-01-21,87
2012-01-22,86
2012-01-23,85
2012-01-24,86
2012-01-25,85
2012-01-26,85
2012-01-27,85
2012-01-28,88
2012-01-29,87
2012-01-30,85
2012-01-31,86
2012-02-01,86
2012-02-02,89
2012-02-03,87
2012-02-04,89
2012-02-05,89
2012-02-06,87
2012-02-07,88
2012-02-08,87
2012-02-09,86
2012-02-10,86
2012-02-11,86
2012-02-12,89
2012-02-13,84
2012-02-14,85
2012-02-15,83
2012-02-16,83
2012-02-17,83
2012-02-18,85
2012-02-19,83
2012-02-20,81
2012-02-21,82
2012-02-22,81
2012-02-23,81
2012-02-24,81
2012-02-25,84
2012-02-26,82
2012-02-27,83
2012-02-28,86
2012-02-29,86
2012-03-01,88
2012-03-02,90
2012-03-03,92
2012-03-04,91
2012-03-05,89
2012-03-06,90
2012-03-07,87
2012-03-08,86
2012-03-09,85
2012-03-10,85
2012-03-11,85
2012-03-12,83
2012-03-13,83
2012-03-14,84
2012-03-15,83
2012-03-16,83
2012-03-17,84
2012-03-18,84
2012-03-19,82
2012-03-20,82
2012-03-21,82
2012-03-22,82
2012-03-23,82
2012-03-24,84
2012-03-25,86
2012-03-26,86
2012-03-27,88
2012-03-28,91
2012-03-29,92
2012-03-30,94
2012-03-31,103
2012-04-01,98
2012-04-02,93
2012-04-03,94
2012-04-04,92
2012-04-05,90
2012-04-06,93
2012-04-07,88
2012-04-08,88
2012-04-09,87
2012-04-10,87
2012-04-11,88
2012-04-12,87
2012-04-13,87
2012-04-14,89
2012-04-15,88
2012-04-16,86
2012-04-17,86
2012-04-18,86
2012-04-19,84
2012-04-20,84
2012-04-21,86
2012-04-22,86
2012-04-23,85
2012-04-24,86
2012-04-25,86
2012-04-26,86
2012-04-27,87
2012-04-28,89
2012-04-29,91
2012-04-30,90
2012-05-01,93
2012-05-02,96
2012-05-03,95
2012-05-04,96
2012-05-05,101
2012-05-06,97
2012-05-07,94
2012-05-08,92
2012-05-09,90
2012-05-10,88
2012-05-11,86
2012-05-12,87
2012-05-13,84
2012-05-14,84
2012-05-15,85
2012-05-16,86
2012-05-17,85
2012-05-18,85
2012-05-19,88
2012-05-20,87
2012-05-21,84
2012-05-22,83
2012-05-23,83
2012-05-24,81
2012-05-25,80
2012-05-26,85
2012-05-27,82
2012-05-28,82
2012-05-29,84
2012-05-30,84
2012-05-31,85
2012-06-01,86
2012-06-02,92
2012-06-03,90
2012-06-04,83
2012-06-05,81
2012-06-06,79
2012-06-07,78
2012-06-08,75
2012-06-09,77
2012-06-10,76
2012-06-11,75
2012-06-12,76
2012-06-13,76
2012-06-14,76
2012-06-15,77
2012-06-16,81
2012-06-17,81
2012-06-18,79
2012-06-19,81
2012-06-20,81
2012-06-21,82
2012-06-22,83
2012-06-23,89
2012-06-24,87
2012-06-25,86
2012-06-26,88
2012-06-27,88
2012-06-28,89
2012-06-29,90
2012-06-30,96
2012-07-01,94
2012-07-02,94
2012-07-03,95
2012-07-04,97
2012-07-05,99
2012-07-06,99
2012-07-07,104
2012-07-08,99
2012-07-09,96
2012-07-10,94
2012-07-11,94
2012-07-12,90
2012-07-13,88
2012-07-14,90
2012-07-15,89
2012-07-16,85
2012-07-17,85
2012-07-18,84
2012-07-19,83
2012-07-20,82
2012-07-21,86
2012-07-22,83
2012-07-23,82
2012-07-24,83
2012-07-25,83
2012-07-26,84
2012-07-27,84
2012-07-28,90
2012-07-29,86
2012-07-30,85
2012-07-31,85
2012-08-01,86
2012-08-02,87
2012-08-03,86
2012-08-04,91
2012-08-05,86
2012-08-06,84
2012-08-07,84
2012-08-08,82
2012-08-09,80
2012-08-10,79
2012-08-11,80
2012-08-12,80
2012-08-13,80
2012-08-14,82
2012-08-15,82
2012-08-16,83
2012-08-17,84
2012-08-18,87
2012-08-19,89
2012-08-20,88
2012-08-21,90
2012-08-22,91
2012-08-23,91
2012-08-24,92
2012-08-25,95
2012-08-26,96
2012-08-27,92
2012-08-28,91
2012-08-29,91
2012-08-30,90
2012-08-31,89
2012-09-01,89
2012-09-02,90
2012-09-03,87
2012-09-04,89
2012-09-05,88
2012-09-06,86
2012-09-07,85
2012-09-08,88
2012-09-09,87
2012-09-10,83
2012-09-11,84
2012-09-12,82
2012-09-13,82
2012-09-14,81
2012-09-15,81
2012-09-16,83
2012-09-17,82
2012-09-18,83
2012-09-19,83
2012-09-20,83
2012-09-21,84
2012-09-22,87
2012-09-23,86
2012-09-24,87
2012-09-25,89
2012-09-26,89
2012-09-27,90
2012-09-28,91
2012-09-29,94
2012-09-30,96
2012-10-01,92
2012-10-02,94
2012-10-03,92
2012-10-04,92
2012-10-05,91
2012-10-06,92
2012-10-07,90
2012-10-08,88
2012-10-09,89
2012-10-10,85
2012-10-11,85
2012-10-12,83
2012-10-13,84
2012-10-14,83
2012-10-15,81
2012-10-16,81
2012-10-17,80
2012-10-18,79
2012-10-19,79
2012-10-20,80
2012-10-21,82
2012-10-22,79
2012-10-23,80
2012-10-24,80
2012-10-25,80
2012-10-26,80
2012-10-27,83
2012-10-28,82
2012-10-29,83
2012-10-30,85
2012-10-31,85
2012-11-01,87
2012-11-02,87
2012-11-03,90
2012-11-04,91
2012-11-05,88
2012-11-06,89
2012-11-07,88
2012-11-08,87
2012-11-09,87
2012-11-10,87
2012-11-11,87
2012-11-12,85
2012-11-13,86
2012-11-14,84
2012-11-15,83
2012-11-16,82
2012-11-17,82
2012-11-18,84
2012-11-19,81
2012-11-20,81
2012-11-21,80
2012-11-22,79
2012-11-23,79
2012-11-24,80
2012-11-25,81
2012-11-26,81
2012-11-27,82
2012-11-28,83
2012-11-29,84
2012-11-30,85
