Date,Piper Jaffray
2009-09-01,0
2009-09-02,0
2009-09-03,0
2009-09-04,0
2009-09-05,0
2009-09-06,0
2009-09-07,0
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0
2009-09-19,0
2009-09-20,0
2009-09-21,0
2009-09-22,0
2009-09-23,0
2009-09-24,0
2009-09-25,0
2009-09-26,0
2009-09-27,0
2009-09-28,0
2009-09-29,0
2009-09-30,0
2009-10-01,0
2009-10-02,0
2009-10-03,0
2009-10-04,0
2009-10-05,0
2009-10-06,0
2009-10-07,0
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,0
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,0
2009-10-21,0
2009-10-22,0
2009-10-23,0
2009-10-24,0
2009-10-25,0
2009-10-26,0
2009-10-27,0
2009-10-28,0
2009-10-29,0
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,0
2009-12-02,2
2009-12-03,5
2009-12-04,8
2009-12-05,10
2009-12-06,13
2009-12-07,16
2009-12-08,18
2009-12-09,21
2009-12-10,24
2009-12-11,27
2009-12-12,29
2009-12-13,32
2009-12-14,35
2009-12-15,37
2009-12-16,40
2009-12-17,43
2009-12-18,46
2009-12-19,48
2009-12-20,51
2009-12-21,54
2009-12-22,56
2009-12-23,59
2009-12-24,62
2009-12-25,65
2009-12-26,67
2009-12-27,70
2009-12-28,73
2009-12-29,75
2009-12-30,78
2009-12-31,81
2010-01-01,84
2010-01-02,84
2010-01-03,85
2010-01-04,85
2010-01-05,86
2010-01-06,86
2010-01-07,87
2010-01-08,87
2010-01-09,88
2010-01-10,88
2010-01-11,89
2010-01-12,89
2010-01-13,90
2010-01-14,90
2010-01-15,91
2010-01-16,91
2010-01-17,92
2010-01-18,92
2010-01-19,93
2010-01-20,93
2010-01-21,94
2010-01-22,94
2010-01-23,95
2010-01-24,95
2010-01-25,96
2010-01-26,96
2010-01-27,97
2010-01-28,97
2010-01-29,98
2010-01-30,98
2010-01-31,99
2010-02-01,100
2010-02-02,96
2010-02-03,92
2010-02-04,89
2010-02-05,85
2010-02-06,82
2010-02-07,78
2010-02-08,75
2010-02-09,71
2010-02-10,67
2010-02-11,64
2010-02-12,60
2010-02-13,57
2010-02-14,53
2010-02-15,50
2010-02-16,46
2010-02-17,42
2010-02-18,39
2010-02-19,35
2010-02-20,32
2010-02-21,28
2010-02-22,25
2010-02-23,21
2010-02-24,17
2010-02-25,14
2010-02-26,10
2010-02-27,7
2010-02-28,3
2010-03-01,0
2010-03-02,0
2010-03-03,0
2010-03-04,0
2010-03-05,0
2010-03-06,0
2010-03-07,0
2010-03-08,0
2010-03-09,0
2010-03-10,0
2010-03-11,0
2010-03-12,0
2010-03-13,0
2010-03-14,0
2010-03-15,0
2010-03-16,0
2010-03-17,0
2010-03-18,0
2010-03-19,0
2010-03-20,0
2010-03-21,0
2010-03-22,0
2010-03-23,0
2010-03-24,0
2010-03-25,0
2010-03-26,0
2010-03-27,0
2010-03-28,0
2010-03-29,0
2010-03-30,0
2010-03-31,0
2010-04-01,0
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,0
2010-05-04,0
2010-05-05,0
2010-05-06,0
2010-05-07,0
