Date,Convergex
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,2
2013-03-03,5
2013-03-04,8
2013-03-05,11
2013-03-06,14
2013-03-07,17
2013-03-08,19
2013-03-09,22
2013-03-10,25
2013-03-11,28
2013-03-12,31
2013-03-13,34
2013-03-14,36
2013-03-15,39
2013-03-16,42
2013-03-17,45
2013-03-18,48
2013-03-19,51
2013-03-20,53
2013-03-21,56
2013-03-22,59
2013-03-23,62
2013-03-24,65
2013-03-25,68
2013-03-26,70
2013-03-27,73
2013-03-28,76
2013-03-29,79
2013-03-30,82
2013-03-31,85
2013-04-01,88
2013-04-02,87
2013-04-03,87
2013-04-04,86
2013-04-05,86
2013-04-06,85
2013-04-07,85
2013-04-08,84
2013-04-09,84
2013-04-10,83
2013-04-11,83
2013-04-12,82
2013-04-13,82
2013-04-14,81
2013-04-15,81
2013-04-16,80
2013-04-17,80
2013-04-18,79
2013-04-19,79
2013-04-20,78
2013-04-21,78
2013-04-22,77
2013-04-23,77
2013-04-24,76
2013-04-25,76
2013-04-26,75
2013-04-27,75
2013-04-28,74
2013-04-29,74
2013-04-30,73
2013-05-01,73
2013-05-02,73
2013-05-03,73
2013-05-04,73
2013-05-05,73
2013-05-06,73
2013-05-07,73
2013-05-08,73
2013-05-09,73
2013-05-10,73
2013-05-11,73
2013-05-12,73
2013-05-13,73
2013-05-14,73
2013-05-15,73
2013-05-16,73
2013-05-17,73
2013-05-18,73
2013-05-19,73
2013-05-20,73
2013-05-21,73
2013-05-22,73
2013-05-23,73
2013-05-24,73
2013-05-25,73
2013-05-26,73
2013-05-27,73
2013-05-28,73
2013-05-29,73
2013-05-30,73
2013-05-31,73
2013-06-01,73
2013-06-02,73
2013-06-03,73
2013-06-04,73
2013-06-05,73
2013-06-06,73
2013-06-07,73
2013-06-08,73
2013-06-09,73
2013-06-10,73
2013-06-11,73
2013-06-12,73
2013-06-13,73
2013-06-14,73
2013-06-15,73
2013-06-16,73
2013-06-17,73
2013-06-18,73
2013-06-19,73
2013-06-20,73
2013-06-21,73
2013-06-22,73
2013-06-23,73
2013-06-24,73
2013-06-25,73
2013-06-26,73
2013-06-27,73
2013-06-28,73
2013-06-29,73
2013-06-30,73
2013-07-01,73
2013-07-02,72
2013-07-03,72
2013-07-04,72
2013-07-05,72
2013-07-06,72
2013-07-07,72
2013-07-08,71
2013-07-09,71
2013-07-10,71
2013-07-11,71
2013-07-12,71
2013-07-13,71
2013-07-14,70
