Date,FBR Capital Markets
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,3
2007-01-03,6
2007-01-04,9
2007-01-05,12
2007-01-06,16
2007-01-07,19
2007-01-08,22
2007-01-09,25
2007-01-10,29
2007-01-11,32
2007-01-12,35
2007-01-13,38
2007-01-14,41
2007-01-15,45
2007-01-16,48
2007-01-17,51
2007-01-18,54
2007-01-19,58
2007-01-20,61
2007-01-21,64
2007-01-22,67
2007-01-23,70
2007-01-24,74
2007-01-25,77
2007-01-26,80
2007-01-27,83
2007-01-28,87
2007-01-29,90
2007-01-30,93
2007-01-31,96
2007-02-01,100
2007-02-02,99
2007-02-03,99
2007-02-04,99
2007-02-05,98
2007-02-06,98
2007-02-07,98
2007-02-08,97
2007-02-09,97
2007-02-10,97
2007-02-11,96
2007-02-12,96
2007-02-13,96
2007-02-14,95
2007-02-15,95
2007-02-16,95
2007-02-17,94
2007-02-18,94
2007-02-19,94
2007-02-20,93
2007-02-21,93
2007-02-22,93
2007-02-23,92
2007-02-24,92
2007-02-25,92
2007-02-26,91
2007-02-27,91
2007-02-28,91
2007-03-01,91
2007-03-02,91
2007-03-03,91
2007-03-04,91
2007-03-05,91
2007-03-06,91
2007-03-07,91
2007-03-08,91
2007-03-09,91
2007-03-10,91
2007-03-11,91
2007-03-12,91
2007-03-13,91
2007-03-14,91
2007-03-15,91
2007-03-16,91
2007-03-17,91
2007-03-18,91
2007-03-19,91
2007-03-20,91
2007-03-21,91
2007-03-22,91
2007-03-23,91
2007-03-24,91
2007-03-25,91
2007-03-26,91
2007-03-27,91
2007-03-28,91
2007-03-29,91
2007-03-30,91
2007-03-31,91
2007-04-01,91
2007-04-02,91
2007-04-03,91
2007-04-04,91
2007-04-05,91
2007-04-06,91
2007-04-07,91
2007-04-08,91
2007-04-09,91
2007-04-10,91
2007-04-11,91
2007-04-12,91
2007-04-13,91
2007-04-14,91
2007-04-15,91
2007-04-16,91
2007-04-17,91
2007-04-18,91
2007-04-19,91
2007-04-20,91
2007-04-21,91
2007-04-22,91
2007-04-23,91
2007-04-24,91
2007-04-25,91
2007-04-26,91
2007-04-27,91
2007-04-28,91
2007-04-29,91
2007-04-30,91
2007-05-01,91
2007-05-02,91
2007-05-03,91
2007-05-04,91
2007-05-05,91
2007-05-06,91
2007-05-07,91
2007-05-08,91
2007-05-09,91
2007-05-10,91
2007-05-11,91
2007-05-12,91
2007-05-13,91
2007-05-14,91
2007-05-15,91
2007-05-16,91
2007-05-17,91
2007-05-18,91
2007-05-19,91
2007-05-20,91
2007-05-21,91
2007-05-22,91
2007-05-23,91
2007-05-24,91
2007-05-25,91
2007-05-26,91
2007-05-27,91
2007-05-28,91
2007-05-29,91
2007-05-30,91
2007-05-31,91
2007-06-01,91
2007-06-02,87
2007-06-03,84
2007-06-04,81
2007-06-05,78
2007-06-06,75
2007-06-07,72
2007-06-08,69
2007-06-09,66
2007-06-10,63
2007-06-11,60
2007-06-12,57
2007-06-13,54
2007-06-14,51
2007-06-15,48
2007-06-16,45
2007-06-17,42
2007-06-18,39
2007-06-19,36
2007-06-20,33
2007-06-21,30
2007-06-22,27
2007-06-23,24
2007-06-24,21
2007-06-25,18
2007-06-26,15
2007-06-27,12
2007-06-28,9
2007-06-29,6
2007-06-30,3
2007-07-01,0
2007-07-02,0
2007-07-03,0
2007-07-04,0
2007-07-05,0
2007-07-06,0
2007-07-07,0
2007-07-08,0
2007-07-09,0
2007-07-10,0
2007-07-11,0
2007-07-12,0
2007-07-13,0
2007-07-14,0
2007-07-15,0
2007-07-16,0
2007-07-17,0
2007-07-18,0
2007-07-19,0
2007-07-20,0
2007-07-21,0
2007-07-22,0
2007-07-23,0
2007-07-24,0
2007-07-25,0
2007-07-26,0
2007-07-27,0
2007-07-28,0
2007-07-29,0
2007-07-30,0
2007-07-31,0
2007-08-01,0
2007-08-02,0
2007-08-03,0
2007-08-04,0
2007-08-05,0
2007-08-06,0
2007-08-07,0
2007-08-08,0
2007-08-09,0
2007-08-10,0
2007-08-11,0
2007-08-12,0
2007-08-13,0
2007-08-14,0
2007-08-15,0
2007-08-16,0
2007-08-17,0
2007-08-18,0
2007-08-19,0
2007-08-20,0
2007-08-21,0
2007-08-22,0
2007-08-23,0
2007-08-24,0
2007-08-25,0
2007-08-26,0
2007-08-27,0
2007-08-28,0
2007-08-29,0
2007-08-30,0
2007-08-31,0
2007-09-01,0
2007-09-02,0
2007-09-03,0
2007-09-04,0
2007-09-05,0
2007-09-06,0
2007-09-07,0
2007-09-08,0
2007-09-09,0
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-15,0
2007-09-16,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,0
2007-09-22,0
2007-09-23,0
2007-09-24,0
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-09-29,0
2007-09-30,0
2007-10-01,0
