Date,JMP Securities
2007-02-01,100
2007-02-02,96
2007-02-03,92
2007-02-04,89
2007-02-05,85
2007-02-06,82
2007-02-07,78
2007-02-08,75
2007-02-09,71
2007-02-10,67
2007-02-11,64
2007-02-12,60
2007-02-13,57
2007-02-14,53
2007-02-15,50
2007-02-16,46
2007-02-17,42
2007-02-18,39
2007-02-19,35
2007-02-20,32
2007-02-21,28
2007-02-22,25
2007-02-23,21
2007-02-24,17
2007-02-25,14
2007-02-26,10
2007-02-27,7
2007-02-28,3
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,0
2007-04-03,0
2007-04-04,0
2007-04-05,0
2007-04-06,0
2007-04-07,0
2007-04-08,0
2007-04-09,0
2007-04-10,0
2007-04-11,0
2007-04-12,0
2007-04-13,0
2007-04-14,0
2007-04-15,0
2007-04-16,0
2007-04-17,0
2007-04-18,0
2007-04-19,0
2007-04-20,0
2007-04-21,0
2007-04-22,0
2007-04-23,0
2007-04-24,0
2007-04-25,0
2007-04-26,0
2007-04-27,0
2007-04-28,0
2007-04-29,0
2007-04-30,0
2007-05-01,0
2007-05-02,0
2007-05-03,0
2007-05-04,0
2007-05-05,0
2007-05-06,0
2007-05-07,0
2007-05-08,0
2007-05-09,0
2007-05-10,0
2007-05-11,0
2007-05-12,0
2007-05-13,0
2007-05-14,0
2007-05-15,0
2007-05-16,0
2007-05-17,0
2007-05-18,0
2007-05-19,0
2007-05-20,0
2007-05-21,0
2007-05-22,0
2007-05-23,0
2007-05-24,0
2007-05-25,0
2007-05-26,0
2007-05-27,0
2007-05-28,0
2007-05-29,0
2007-05-30,0
2007-05-31,0
2007-06-01,0
2007-06-02,0
2007-06-03,0
2007-06-04,0
2007-06-05,0
2007-06-06,0
2007-06-07,0
2007-06-08,0
2007-06-09,0
2007-06-10,0
2007-06-11,0
2007-06-12,0
2007-06-13,0
2007-06-14,0
2007-06-15,0
2007-06-16,0
2007-06-17,0
2007-06-18,0
2007-06-19,0
2007-06-20,0
2007-06-21,0
2007-06-22,0
2007-06-23,0
2007-06-24,0
2007-06-25,0
2007-06-26,0
2007-06-27,0
2007-06-28,0
2007-06-29,0
2007-06-30,0
2007-07-01,0
2007-07-02,2
2007-07-03,4
2007-07-04,7
2007-07-05,9
2007-07-06,12
2007-07-07,14
2007-07-08,17
2007-07-09,19
2007-07-10,22
2007-07-11,24
2007-07-12,26
2007-07-13,29
2007-07-14,31
2007-07-15,34
2007-07-16,36
2007-07-17,39
2007-07-18,41
2007-07-19,44
2007-07-20,46
2007-07-21,49
2007-07-22,51
2007-07-23,53
2007-07-24,56
2007-07-25,58
2007-07-26,61
