Date,Goldman Sachs
2009-06-01,19
2009-06-02,20
2009-06-03,21
2009-06-04,22
2009-06-05,24
2009-06-06,24
2009-06-07,24
2009-06-08,24
2009-06-09,24
2009-06-10,24
2009-06-11,25
2009-06-12,26
2009-06-13,25
2009-06-14,24
2009-06-15,24
2009-06-16,25
2009-06-17,24
2009-06-18,24
2009-06-19,26
2009-06-20,24
2009-06-21,23
2009-06-22,22
2009-06-23,23
2009-06-24,21
2009-06-25,21
2009-06-26,21
2009-06-27,20
2009-06-28,20
2009-06-29,20
2009-06-30,20
2009-07-01,20
2009-07-02,20
2009-07-03,22
2009-07-04,21
2009-07-05,22
2009-07-06,23
2009-07-07,24
2009-07-08,26
2009-07-09,28
2009-07-10,30
2009-07-11,30
2009-07-12,33
2009-07-13,36
2009-07-14,40
2009-07-15,46
2009-07-16,50
2009-07-17,51
2009-07-18,58
2009-07-19,50
2009-07-20,47
2009-07-21,46
2009-07-22,42
2009-07-23,38
2009-07-24,38
2009-07-25,32
2009-07-26,32
2009-07-27,32
2009-07-28,33
2009-07-29,33
2009-07-30,34
2009-07-31,34
2009-08-01,38
2009-08-02,35
2009-08-03,33
2009-08-04,33
2009-08-05,34
2009-08-06,32
2009-08-07,31
2009-08-08,35
2009-08-09,30
2009-08-10,29
2009-08-11,28
2009-08-12,27
2009-08-13,26
2009-08-14,27
2009-08-15,24
2009-08-16,24
2009-08-17,24
2009-08-18,24
2009-08-19,24
2009-08-20,26
2009-08-21,25
2009-08-22,25
2009-08-23,25
2009-08-24,25
2009-08-25,26
2009-08-26,26
2009-08-27,26
2009-08-28,25
2009-08-29,27
2009-08-30,25
2009-08-31,24
2009-09-01,23
2009-09-02,22
2009-09-03,24
2009-09-04,20
2009-09-05,20
2009-09-06,20
2009-09-07,20
2009-09-08,21
2009-09-09,21
2009-09-10,22
2009-09-11,24
2009-09-12,23
2009-09-13,23
2009-09-14,23
2009-09-15,23
2009-09-16,24
2009-09-17,24
2009-09-18,25
2009-09-19,26
2009-09-20,24
2009-09-21,24
2009-09-22,24
2009-09-23,23
2009-09-24,26
2009-09-25,23
2009-09-26,24
2009-09-27,23
2009-09-28,23
2009-09-29,23
2009-09-30,23
2009-10-01,24
2009-10-02,23
2009-10-03,24
2009-10-04,23
2009-10-05,24
2009-10-06,24
2009-10-07,25
2009-10-08,25
2009-10-09,27
2009-10-10,27
2009-10-11,27
2009-10-12,28
2009-10-13,31
2009-10-14,30
2009-10-15,31
2009-10-16,34
2009-10-17,37
2009-10-18,31
2009-10-19,30
2009-10-20,29
2009-10-21,28
2009-10-22,27
2009-10-23,28
2009-10-24,25
2009-10-25,25
2009-10-26,25
2009-10-27,25
2009-10-28,25
2009-10-29,25
2009-10-30,28
2009-10-31,27
2009-11-01,26
2009-11-02,26
2009-11-03,26
2009-11-04,26
2009-11-05,26
2009-11-06,26
2009-11-07,27
2009-11-08,26
2009-11-09,26
2009-11-10,27
2009-11-11,27
2009-11-12,28
2009-11-13,30
2009-11-14,31
2009-11-15,28
2009-11-16,28
2009-11-17,28
2009-11-18,27
2009-11-19,28
2009-11-20,27
2009-11-21,31
2009-11-22,26
2009-11-23,25
2009-11-24,24
2009-11-25,24
2009-11-26,25
2009-11-27,22
2009-11-28,23
2009-11-29,22
2009-11-30,23
2009-12-01,24
2009-12-02,25
2009-12-03,27
2009-12-04,27
2009-12-05,29
2009-12-06,28
2009-12-07,26
2009-12-08,26
2009-12-09,27
2009-12-10,25
2009-12-11,25
2009-12-12,24
2009-12-13,23
2009-12-14,22
2009-12-15,22
2009-12-16,21
2009-12-17,21
2009-12-18,20
2009-12-19,21
2009-12-20,19
2009-12-21,19
2009-12-22,19
2009-12-23,18
2009-12-24,18
2009-12-25,18
2009-12-26,18
2009-12-27,18
2009-12-28,18
2009-12-29,18
2009-12-30,18
2009-12-31,19
2010-01-01,18
2010-01-02,19
2010-01-03,18
2010-01-04,19
2010-01-05,20
2010-01-06,20
2010-01-07,21
2010-01-08,22
2010-01-09,25
2010-01-10,23
2010-01-11,24
2010-01-12,25
2010-01-13,26
2010-01-14,28
2010-01-15,28
2010-01-16,31
2010-01-17,29
2010-01-18,29
2010-01-19,30
2010-01-20,30
2010-01-21,31
2010-01-22,33
2010-01-23,37
2010-01-24,31
2010-01-25,30
2010-01-26,29
2010-01-27,30
2010-01-28,27
2010-01-29,26
2010-01-30,29
2010-01-31,25
2010-02-01,25
2010-02-02,25
2010-02-03,25
2010-02-04,24
2010-02-05,24
2010-02-06,25
2010-02-07,24
2010-02-08,23
2010-02-09,23
2010-02-10,24
2010-02-11,22
2010-02-12,22
2010-02-13,23
2010-02-14,22
2010-02-15,22
2010-02-16,22
2010-02-17,23
2010-02-18,23
2010-02-19,24
2010-02-20,25
2010-02-21,24
2010-02-22,24
2010-02-23,25
2010-02-24,25
2010-02-25,26
2010-02-26,26
2010-02-27,27
2010-02-28,27
2010-03-01,26
2010-03-02,26
2010-03-03,27
2010-03-04,26
2010-03-05,26
2010-03-06,28
2010-03-07,25
2010-03-08,25
2010-03-09,24
2010-03-10,24
2010-03-11,25
2010-03-12,25
2010-03-13,23
2010-03-14,23
2010-03-15,23
2010-03-16,24
2010-03-17,24
2010-03-18,26
2010-03-19,25
2010-03-20,27
2010-03-21,25
2010-03-22,24
2010-03-23,24
2010-03-24,23
2010-03-25,24
2010-03-26,22
2010-03-27,22
2010-03-28,22
2010-03-29,22
2010-03-30,22
2010-03-31,23
2010-04-01,23
2010-04-02,22
2010-04-03,23
2010-04-04,22
2010-04-05,22
2010-04-06,23
2010-04-07,23
2010-04-08,25
2010-04-09,25
2010-04-10,25
2010-04-11,29
2010-04-12,32
2010-04-13,36
2010-04-14,42
2010-04-15,43
2010-04-16,47
2010-04-17,56
2010-04-18,59
2010-04-19,65
2010-04-20,74
2010-04-21,82
2010-04-22,96
2010-04-23,93
2010-04-24,108
2010-04-25,96
2010-04-26,92
2010-04-27,89
2010-04-28,86
2010-04-29,93
2010-04-30,78
2010-05-01,82
2010-05-02,72
2010-05-03,66
2010-05-04,63
2010-05-05,60
2010-05-06,56
2010-05-07,50
2010-05-08,54
2010-05-09,44
2010-05-10,42
2010-05-11,40
2010-05-12,39
2010-05-13,39
2010-05-14,35
2010-05-15,37
2010-05-16,33
2010-05-17,31
2010-05-18,31
2010-05-19,29
2010-05-20,30
2010-05-21,27
2010-05-22,26
2010-05-23,25
2010-05-24,25
2010-05-25,26
2010-05-26,24
2010-05-27,25
2010-05-28,24
2010-05-29,25
2010-05-30,23
2010-05-31,23
2010-06-01,22
2010-06-02,22
2010-06-03,22
2010-06-04,21
2010-06-05,21
2010-06-06,22
2010-06-07,23
2010-06-08,24
2010-06-09,26
2010-06-10,26
2010-06-11,27
2010-06-12,33
2010-06-13,28
2010-06-14,27
2010-06-15,26
2010-06-16,26
2010-06-17,24
2010-06-18,25
2010-06-19,23
2010-06-20,22
2010-06-21,22
2010-06-22,21
2010-06-23,21
2010-06-24,21
2010-06-25,20
2010-06-26,20
2010-06-27,20
2010-06-28,20
2010-06-29,20
2010-06-30,21
2010-07-01,21
2010-07-02,22
2010-07-03,22
2010-07-04,21
2010-07-05,20
2010-07-06,20
2010-07-07,20
2010-07-08,20
2010-07-09,18
2010-07-10,18
2010-07-11,18
2010-07-12,19
2010-07-13,21
2010-07-14,21
2010-07-15,22
2010-07-16,23
2010-07-17,28
2010-07-18,24
2010-07-19,25
2010-07-20,25
2010-07-21,28
2010-07-22,28
2010-07-23,27
2010-07-24,29
2010-07-25,27
2010-07-26,26
2010-07-27,25
2010-07-28,25
2010-07-29,26
2010-07-30,23
2010-07-31,23
2010-08-01,23
2010-08-02,23
2010-08-03,23
2010-08-04,24
2010-08-05,25
2010-08-06,24
2010-08-07,27
2010-08-08,24
2010-08-09,23
2010-08-10,22
2010-08-11,21
2010-08-12,20
2010-08-13,20
2010-08-14,18
2010-08-15,18
2010-08-16,18
2010-08-17,18
2010-08-18,18
2010-08-19,19
2010-08-20,18
2010-08-21,20
2010-08-22,19
2010-08-23,19
2010-08-24,19
2010-08-25,20
2010-08-26,19
2010-08-27,20
2010-08-28,21
2010-08-29,19
2010-08-30,18
2010-08-31,18
2010-09-01,17
2010-09-02,17
2010-09-03,17
2010-09-04,17
2010-09-05,16
2010-09-06,16
2010-09-07,16
2010-09-08,17
2010-09-09,17
2010-09-10,17
2010-09-11,19
2010-09-12,18
2010-09-13,18
2010-09-14,18
2010-09-15,18
2010-09-16,19
2010-09-17,18
2010-09-18,20
2010-09-19,19
2010-09-20,19
2010-09-21,19
2010-09-22,21
2010-09-23,20
2010-09-24,20
2010-09-25,22
2010-09-26,20
2010-09-27,20
2010-09-28,21
2010-09-29,20
2010-09-30,19
2010-10-01,19
2010-10-02,20
2010-10-03,19
2010-10-04,19
2010-10-05,19
2010-10-06,19
2010-10-07,20
2010-10-08,19
2010-10-09,20
2010-10-10,19
2010-10-11,19
2010-10-12,19
2010-10-13,20
2010-10-14,19
2010-10-15,19
2010-10-16,20
2010-10-17,19
2010-10-18,20
2010-10-19,21
2010-10-20,21
2010-10-21,22
2010-10-22,23
2010-10-23,26
2010-10-24,23
