Date,Credit Suisse
2011-05-07,81
2011-05-08,69
2011-05-09,70
2011-05-10,71
2011-05-11,72
2011-05-12,73
2011-05-13,77
2011-05-14,79
2011-05-15,76
2011-05-16,73
2011-05-17,78
2011-05-18,72
2011-05-19,72
2011-05-20,71
2011-05-21,80
2011-05-22,72
2011-05-23,73
2011-05-24,74
2011-05-25,77
2011-05-26,78
2011-05-27,80
2011-05-28,82
2011-05-29,82
2011-05-30,75
2011-05-31,74
2011-06-01,76
2011-06-02,69
2011-06-03,67
2011-06-04,68
2011-06-05,65
2011-06-06,66
2011-06-07,67
2011-06-08,69
2011-06-09,68
2011-06-10,72
2011-06-11,74
2011-06-12,71
2011-06-13,70
2011-06-14,70
2011-06-15,73
2011-06-16,70
2011-06-17,72
2011-06-18,75
2011-06-19,71
2011-06-20,71
2011-06-21,72
2011-06-22,71
2011-06-23,74
2011-06-24,73
2011-06-25,75
2011-06-26,72
2011-06-27,73
2011-06-28,79
2011-06-29,75
2011-06-30,78
2011-07-01,77
2011-07-02,87
2011-07-03,76
2011-07-04,75
2011-07-05,74
2011-07-06,72
2011-07-07,73
2011-07-08,71
2011-07-09,71
2011-07-10,71
2011-07-11,74
2011-07-12,76
2011-07-13,81
2011-07-14,86
2011-07-15,84
2011-07-16,101
2011-07-17,85
2011-07-18,83
2011-07-19,84
2011-07-20,80
2011-07-21,78
2011-07-22,80
2011-07-23,82
2011-07-24,76
2011-07-25,78
2011-07-26,80
2011-07-27,85
2011-07-28,83
2011-07-29,89
2011-07-30,100
2011-07-31,87
2011-08-01,87
2011-08-02,87
2011-08-03,87
2011-08-04,90
2011-08-05,89
2011-08-06,95
2011-08-07,89
2011-08-08,91
2011-08-09,94
2011-08-10,96
2011-08-11,96
2011-08-12,107
2011-08-13,104
2011-08-14,97
2011-08-15,93
2011-08-16,91
2011-08-17,86
2011-08-18,83
2011-08-19,83
2011-08-20,82
2011-08-21,80
2011-08-22,78
2011-08-23,78
2011-08-24,82
2011-08-25,79
2011-08-26,82
2011-08-27,86
2011-08-28,86
2011-08-29,77
2011-08-30,76
2011-08-31,75
2011-09-01,73
2011-09-02,71
2011-09-03,75
2011-09-04,70
2011-09-05,70
2011-09-06,71
2011-09-07,77
2011-09-08,72
2011-09-09,72
2011-09-10,82
2011-09-11,74
2011-09-12,75
2011-09-13,78
2011-09-14,77
2011-09-15,78
2011-09-16,79
2011-09-17,85
2011-09-18,82
2011-09-19,79
2011-09-20,81
2011-09-21,78
2011-09-22,78
2011-09-23,80
2011-09-24,80
2011-09-25,80
2011-09-26,76
2011-09-27,80
2011-09-28,75
2011-09-29,78
2011-09-30,75
2011-10-01,78
2011-10-02,80
2011-10-03,75
2011-10-04,75
2011-10-05,81
2011-10-06,76
2011-10-07,77
2011-10-08,78
2011-10-09,85
2011-10-10,76
2011-10-11,77
2011-10-12,74
2011-10-13,73
2011-10-14,72
2011-10-15,77
2011-10-16,72
2011-10-17,74
2011-10-18,80
2011-10-19,77
2011-10-20,80
2011-10-21,84
2011-10-22,88
2011-10-23,81
2011-10-24,80
2011-10-25,79
2011-10-26,78
2011-10-27,78
2011-10-28,76
2011-10-29,83
2011-10-30,77
2011-10-31,79
2011-11-01,81
2011-11-02,88
2011-11-03,90
2011-11-04,90
2011-11-05,98
2011-11-06,90
2011-11-07,89
2011-11-08,88
2011-11-09,92
2011-11-10,86
2011-11-11,85
2011-11-12,92
2011-11-13,83
2011-11-14,82
2011-11-15,81
2011-11-16,80
2011-11-17,85
2011-11-18,79
2011-11-19,85
2011-11-20,77
2011-11-21,77
2011-11-22,82
2011-11-23,76
2011-11-24,76
2011-11-25,76
2011-11-26,84
2011-11-27,77
2011-11-28,78
2011-11-29,79
2011-11-30,83
2011-12-01,81
2011-12-02,88
2011-12-03,88
2011-12-04,83
2011-12-05,82
2011-12-06,84
2011-12-07,80
2011-12-08,79
2011-12-09,78
2011-12-10,87
2011-12-11,79
2011-12-12,76
2011-12-13,76
2011-12-14,75
2011-12-15,75
2011-12-16,77
2011-12-17,83
2011-12-18,72
2011-12-19,71
2011-12-20,76
2011-12-21,69
2011-12-22,70
2011-12-23,70
2011-12-24,72
2011-12-25,65
2011-12-26,64
2011-12-27,63
2011-12-28,62
2011-12-29,61
2011-12-30,61
2011-12-31,66
2012-01-01,61
2012-01-02,63
2012-01-03,65
2012-01-04,72
2012-01-05,70
2012-01-06,74
2012-01-07,80
2012-01-08,73
2012-01-09,72
2012-01-10,71
2012-01-11,73
2012-01-12,68
2012-01-13,72
2012-01-14,69
2012-01-15,66
2012-01-16,66
2012-01-17,69
2012-01-18,67
2012-01-19,67
2012-01-20,73
2012-01-21,73
2012-01-22,70
2012-01-23,67
2012-01-24,69
2012-01-25,67
2012-01-26,69
2012-01-27,67
2012-01-28,77
2012-01-29,68
2012-01-30,69
2012-01-31,70
2012-02-01,71
2012-02-02,72
2012-02-03,73
2012-02-04,79
2012-02-05,79
2012-02-06,73
2012-02-07,72
2012-02-08,72
2012-02-09,71
2012-02-10,75
2012-02-11,77
2012-02-12,72
2012-02-13,68
2012-02-14,69
2012-02-15,66
2012-02-16,68
2012-02-17,65
2012-02-18,68
2012-02-19,62
2012-02-20,61
2012-02-21,62
2012-02-22,60
2012-02-23,60
2012-02-24,59
2012-02-25,68
2012-02-26,61
2012-02-27,63
2012-02-28,65
2012-02-29,67
2012-03-01,69
2012-03-02,73
2012-03-03,78
2012-03-04,73
2012-03-05,71
2012-03-06,74
2012-03-07,70
2012-03-08,68
2012-03-09,67
2012-03-10,71
2012-03-11,66
2012-03-12,66
2012-03-13,67
2012-03-14,70
2012-03-15,68
2012-03-16,70
2012-03-17,74
2012-03-18,69
2012-03-19,69
2012-03-20,72
2012-03-21,71
2012-03-22,75
2012-03-23,71
2012-03-24,75
2012-03-25,75
2012-03-26,72
2012-03-27,72
2012-03-28,75
2012-03-29,73
2012-03-30,75
2012-03-31,83
2012-04-01,73
2012-04-02,72
2012-04-03,75
2012-04-04,71
2012-04-05,73
2012-04-06,75
2012-04-07,73
2012-04-08,67
2012-04-09,65
2012-04-10,64
2012-04-11,64
2012-04-12,61
2012-04-13,59
2012-04-14,67
2012-04-15,59
2012-04-16,60
2012-04-17,61
2012-04-18,66
2012-04-19,64
2012-04-20,65
2012-04-21,74
2012-04-22,72
2012-04-23,68
2012-04-24,74
2012-04-25,70
2012-04-26,74
2012-04-27,72
2012-04-28,83
2012-04-29,72
2012-04-30,71
2012-05-01,70
2012-05-02,70
2012-05-03,69
2012-05-04,77
2012-05-05,68
2012-05-06,69
2012-05-07,67
2012-05-08,69
2012-05-09,68
2012-05-10,66
2012-05-11,68
2012-05-12,72
2012-05-13,66
2012-05-14,66
2012-05-15,66
2012-05-16,66
2012-05-17,73
2012-05-18,66
2012-05-19,75
2012-05-20,69
2012-05-21,71
2012-05-22,77
2012-05-23,77
2012-05-24,84
2012-05-25,81
2012-05-26,91
2012-05-27,83
2012-05-28,80
2012-05-29,79
2012-05-30,80
2012-05-31,76
2012-06-01,76
2012-06-02,85
2012-06-03,73
2012-06-04,73
2012-06-05,77
2012-06-06,74
2012-06-07,75
2012-06-08,77
2012-06-09,78
2012-06-10,75
2012-06-11,76
2012-06-12,76
2012-06-13,82
2012-06-14,77
2012-06-15,84
2012-06-16,87
2012-06-17,76
2012-06-18,73
2012-06-19,70
2012-06-20,68
2012-06-21,67
2012-06-22,62
2012-06-23,67
2012-06-24,60
2012-06-25,61
2012-06-26,62
2012-06-27,65
2012-06-28,65
2012-06-29,64
2012-06-30,68
2012-07-01,65
2012-07-02,66
2012-07-03,71
2012-07-04,67
2012-07-05,68
2012-07-06,71
2012-07-07,77
2012-07-08,72
2012-07-09,69
2012-07-10,69
2012-07-11,70
2012-07-12,68
2012-07-13,70
2012-07-14,75
2012-07-15,67
2012-07-16,67
2012-07-17,72
2012-07-18,67
2012-07-19,70
2012-07-20,67
2012-07-21,75
2012-07-22,69
2012-07-23,71
2012-07-24,78
2012-07-25,76
2012-07-26,78
2012-07-27,82
2012-07-28,87
2012-07-29,79
2012-07-30,75
2012-07-31,74
2012-08-01,68
2012-08-02,65
2012-08-03,67
2012-08-04,59
2012-08-05,60
2012-08-06,58
2012-08-07,58
2012-08-08,58
2012-08-09,58
2012-08-10,57
2012-08-11,64
2012-08-12,58
2012-08-13,59
2012-08-14,60
2012-08-15,64
2012-08-16,62
2012-08-17,63
2012-08-18,76
2012-08-19,63
2012-08-20,63
2012-08-21,63
2012-08-22,62
2012-08-23,61
2012-08-24,62
2012-08-25,65
2012-08-26,62
2012-08-27,62
2012-08-28,65
2012-08-29,64
2012-08-30,64
2012-08-31,65
2012-09-01,70
2012-09-02,68
2012-09-03,65
2012-09-04,65
2012-09-05,66
2012-09-06,65
2012-09-07,68
2012-09-08,69
2012-09-09,64
2012-09-10,64
2012-09-11,64
2012-09-12,66
2012-09-13,63
2012-09-14,67
2012-09-15,67
2012-09-16,64
2012-09-17,65
2012-09-18,66
2012-09-19,71
2012-09-20,68
2012-09-21,73
2012-09-22,74
2012-09-23,79
2012-09-24,70
2012-09-25,70
2012-09-26,73
2012-09-27,69
2012-09-28,69
2012-09-29,74
2012-09-30,68
2012-10-01,66
2012-10-02,65
2012-10-03,65
2012-10-04,63
2012-10-05,61
2012-10-06,68
2012-10-07,60
2012-10-08,60
2012-10-09,60
2012-10-10,61
2012-10-11,61
2012-10-12,62
2012-10-13,73
2012-10-14,62
2012-10-15,62
2012-10-16,63
2012-10-17,63
2012-10-18,63
2012-10-19,67
2012-10-20,72
2012-10-21,64
2012-10-22,65
2012-10-23,67
2012-10-24,66
2012-10-25,67
2012-10-26,68
2012-10-27,76
2012-10-28,69
2012-10-29,66
2012-10-30,65
2012-10-31,66
2012-11-01,62
2012-11-02,61
2012-11-03,69
2012-11-04,59
2012-11-05,58
2012-11-06,58
2012-11-07,58
2012-11-08,55
2012-11-09,54
2012-11-10,57
2012-11-11,54
2012-11-12,54
2012-11-13,55
2012-11-14,58
2012-11-15,58
2012-11-16,57
2012-11-17,67
2012-11-18,57
2012-11-19,56
2012-11-20,56
2012-11-21,55
2012-11-22,56
2012-11-23,56
2012-11-24,60
2012-11-25,55
2012-11-26,57
2012-11-27,59
2012-11-28,63
2012-11-29,63
2012-11-30,65
2012-12-01,73
2012-12-02,67
2012-12-03,65
2012-12-04,64
2012-12-05,66
2012-12-06,63
2012-12-07,65
2012-12-08,66
2012-12-09,61
2012-12-10,61
2012-12-11,61
2012-12-12,64
2012-12-13,60
2012-12-14,62
2012-12-15,67
2012-12-16,60
2012-12-17,61
2012-12-18,65
2012-12-19,63
2012-12-20,67
2012-12-21,65
2012-12-22,69
