Date,BofA Merrill Lynch
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,3
2012-12-03,6
2012-12-04,9
2012-12-05,12
2012-12-06,15
2012-12-07,18
2012-12-08,21
2012-12-09,24
2012-12-10,27
2012-12-11,30
2012-12-12,34
2012-12-13,37
2012-12-14,40
2012-12-15,43
2012-12-16,46
2012-12-17,49
2012-12-18,52
2012-12-19,55
2012-12-20,58
2012-12-21,61
2012-12-22,65
2012-12-23,68
2012-12-24,71
2012-12-25,74
2012-12-26,77
2012-12-27,80
2012-12-28,83
2012-12-29,86
2012-12-30,89
2012-12-31,92
2013-01-01,96
2013-01-02,95
2013-01-03,95
2013-01-04,95
2013-01-05,95
2013-01-06,95
2013-01-07,95
2013-01-08,95
2013-01-09,95
2013-01-10,95
2013-01-11,95
2013-01-12,95
2013-01-13,95
2013-01-14,95
2013-01-15,95
2013-01-16,95
2013-01-17,94
2013-01-18,94
2013-01-19,94
2013-01-20,94
2013-01-21,94
2013-01-22,94
2013-01-23,94
2013-01-24,94
2013-01-25,94
2013-01-26,94
2013-01-27,94
2013-01-28,94
2013-01-29,94
2013-01-30,94
2013-01-31,94
2013-02-01,94
2013-02-02,94
2013-02-03,94
2013-02-04,94
2013-02-05,94
2013-02-06,94
2013-02-07,94
2013-02-08,94
2013-02-09,94
2013-02-10,94
2013-02-11,94
2013-02-12,94
2013-02-13,94
2013-02-14,94
2013-02-15,94
2013-02-16,94
2013-02-17,94
2013-02-18,94
2013-02-19,94
2013-02-20,94
2013-02-21,94
2013-02-22,94
2013-02-23,94
2013-02-24,94
2013-02-25,94
2013-02-26,94
2013-02-27,94
2013-02-28,94
2013-03-01,94
2013-03-02,94
2013-03-03,94
2013-03-04,94
2013-03-05,94
2013-03-06,94
2013-03-07,94
2013-03-08,94
2013-03-09,94
2013-03-10,94
2013-03-11,94
2013-03-12,94
2013-03-13,94
2013-03-14,94
2013-03-15,94
2013-03-16,94
2013-03-17,94
2013-03-18,94
2013-03-19,94
2013-03-20,94
2013-03-21,94
2013-03-22,94
2013-03-23,94
2013-03-24,94
2013-03-25,94
2013-03-26,94
2013-03-27,94
2013-03-28,94
2013-03-29,94
2013-03-30,94
2013-03-31,94
2013-04-01,94
2013-04-02,93
2013-04-03,92
2013-04-04,92
2013-04-05,91
2013-04-06,90
2013-04-07,90
2013-04-08,89
2013-04-09,88
2013-04-10,88
2013-04-11,87
2013-04-12,86
