Date,Thomas Weisel
2007-06-01,0
2007-06-02,0
2007-06-03,0
2007-06-04,0
2007-06-05,0
2007-06-06,0
2007-06-07,0
2007-06-08,0
2007-06-09,0
2007-06-10,0
2007-06-11,0
2007-06-12,0
2007-06-13,0
2007-06-14,0
2007-06-15,0
2007-06-16,0
2007-06-17,0
2007-06-18,0
2007-06-19,0
2007-06-20,0
2007-06-21,0
2007-06-22,0
2007-06-23,0
2007-06-24,0
2007-06-25,0
2007-06-26,0
2007-06-27,0
2007-06-28,0
2007-06-29,0
2007-06-30,0
2007-07-01,0
2007-07-02,0
2007-07-03,0
2007-07-04,0
2007-07-05,0
2007-07-06,0
2007-07-07,0
2007-07-08,0
2007-07-09,0
2007-07-10,0
2007-07-11,0
2007-07-12,0
2007-07-13,0
2007-07-14,0
2007-07-15,0
2007-07-16,0
2007-07-17,0
2007-07-18,0
2007-07-19,0
2007-07-20,0
2007-07-21,0
2007-07-22,0
2007-07-23,0
2007-07-24,0
2007-07-25,0
2007-07-26,0
2007-07-27,0
2007-07-28,0
2007-07-29,0
2007-07-30,0
2007-07-31,0
2007-08-01,0
2007-08-02,0
2007-08-03,0
2007-08-04,0
2007-08-05,0
2007-08-06,0
2007-08-07,0
2007-08-08,0
2007-08-09,0
2007-08-10,0
2007-08-11,0
2007-08-12,0
2007-08-13,0
2007-08-14,0
2007-08-15,0
2007-08-16,0
2007-08-17,0
2007-08-18,0
2007-08-19,0
2007-08-20,0
2007-08-21,0
2007-08-22,0
2007-08-23,0
2007-08-24,0
2007-08-25,0
2007-08-26,0
2007-08-27,0
2007-08-28,0
2007-08-29,0
2007-08-30,0
2007-08-31,0
2007-09-01,0
2007-09-02,0
2007-09-03,0
2007-09-04,0
2007-09-05,0
2007-09-06,0
2007-09-07,0
2007-09-08,0
2007-09-09,0
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-15,0
2007-09-16,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,0
2007-09-22,0
2007-09-23,0
2007-09-24,0
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-09-29,0
2007-09-30,0
2007-10-01,0
2007-10-02,2
2007-10-03,4
2007-10-04,6
2007-10-05,9
2007-10-06,11
2007-10-07,13
2007-10-08,15
2007-10-09,18
2007-10-10,20
2007-10-11,22
2007-10-12,24
2007-10-13,27
2007-10-14,29
2007-10-15,31
2007-10-16,33
2007-10-17,36
2007-10-18,38
2007-10-19,40
2007-10-20,42
2007-10-21,45
2007-10-22,47
2007-10-23,49
2007-10-24,51
2007-10-25,54
2007-10-26,56
2007-10-27,58
2007-10-28,60
2007-10-29,63
2007-10-30,65
2007-10-31,67
2007-11-01,70
2007-11-02,69
2007-11-03,69
2007-11-04,69
2007-11-05,69
2007-11-06,69
2007-11-07,69
2007-11-08,69
2007-11-09,69
2007-11-10,69
2007-11-11,69
2007-11-12,69
2007-11-13,69
2007-11-14,69
2007-11-15,69
2007-11-16,69
2007-11-17,69
2007-11-18,69
2007-11-19,69
2007-11-20,69
2007-11-21,69
2007-11-22,69
2007-11-23,69
2007-11-24,69
2007-11-25,69
2007-11-26,69
2007-11-27,69
2007-11-28,69
2007-11-29,69
2007-11-30,69
2007-12-01,69
2007-12-02,69
2007-12-03,69
2007-12-04,69
2007-12-05,69
2007-12-06,69
2007-12-07,69
2007-12-08,69
2007-12-09,69
2007-12-10,69
2007-12-11,69
2007-12-12,69
2007-12-13,69
2007-12-14,69
2007-12-15,69
2007-12-16,69
2007-12-17,69
2007-12-18,69
2007-12-19,69
2007-12-20,69
2007-12-21,69
2007-12-22,69
2007-12-23,69
2007-12-24,69
2007-12-25,69
2007-12-26,69
2007-12-27,69
2007-12-28,69
2007-12-29,69
2007-12-30,69
2007-12-31,69
2008-01-01,69
2008-01-02,69
2008-01-03,69
2008-01-04,69
2008-01-05,69
2008-01-06,69
2008-01-07,69
2008-01-08,69
2008-01-09,69
2008-01-10,69
2008-01-11,69
2008-01-12,69
2008-01-13,69
2008-01-14,69
2008-01-15,69
