Date,Goldman Sachs
2012-01-01,47
2012-01-02,56
2012-01-03,50
2012-01-04,51
2012-01-05,53
2012-01-06,59
2012-01-07,58
2012-01-08,56
2012-01-09,55
2012-01-10,54
2012-01-11,54
2012-01-12,53
2012-01-13,56
2012-01-14,55
2012-01-15,57
2012-01-16,52
2012-01-17,52
2012-01-18,52
2012-01-19,53
2012-01-20,56
2012-01-21,56
2012-01-22,52
2012-01-23,52
2012-01-24,54
2012-01-25,52
2012-01-26,58
2012-01-27,52
2012-01-28,58
2012-01-29,53
2012-01-30,53
2012-01-31,53
2012-02-01,57
2012-02-02,54
2012-02-03,54
2012-02-04,59
2012-02-05,57
2012-02-06,53
2012-02-07,52
2012-02-08,54
2012-02-09,50
2012-02-10,51
2012-02-11,53
2012-02-12,49
2012-02-13,48
2012-02-14,56
2012-02-15,49
2012-02-16,52
2012-02-17,50
2012-02-18,53
2012-02-19,51
2012-02-20,52
2012-02-21,53
2012-02-22,54
2012-02-23,57
2012-02-24,56
2012-02-25,61
2012-02-26,56
2012-02-27,54
2012-02-28,56
2012-02-29,53
2012-03-01,53
2012-03-02,52
2012-03-03,58
2012-03-04,52
2012-03-05,52
2012-03-06,52
2012-03-07,55
2012-03-08,52
2012-03-09,53
2012-03-10,53
2012-03-11,57
2012-03-12,63
2012-03-13,68
2012-03-14,74
2012-03-15,81
2012-03-16,91
2012-03-17,98
2012-03-18,91
2012-03-19,83
2012-03-20,82
2012-03-21,75
2012-03-22,73
2012-03-23,68
2012-03-24,68
2012-03-25,62
2012-03-26,61
2012-03-27,60
2012-03-28,59
2012-03-29,59
2012-03-30,57
2012-03-31,63
2012-04-01,54
2012-04-02,52
2012-04-03,51
2012-04-04,48
2012-04-05,46
2012-04-06,48
2012-04-07,45
2012-04-08,43
2012-04-09,44
2012-04-10,45
2012-04-11,45
2012-04-12,48
2012-04-13,46
2012-04-14,49
2012-04-15,50
2012-04-16,47
2012-04-17,48
2012-04-18,51
2012-04-19,49
2012-04-20,49
2012-04-21,58
2012-04-22,49
2012-04-23,49
2012-04-24,48
2012-04-25,48
2012-04-26,48
2012-04-27,47
2012-04-28,52
2012-04-29,46
2012-04-30,45
2012-05-01,45
2012-05-02,46
2012-05-03,47
2012-05-04,43
2012-05-05,43
2012-05-06,47
2012-05-07,44
2012-05-08,46
2012-05-09,45
2012-05-10,46
2012-05-11,47
2012-05-12,53
2012-05-13,48
2012-05-14,50
2012-05-15,50
2012-05-16,50
2012-05-17,51
2012-05-18,52
2012-05-19,59
2012-05-20,51
2012-05-21,49
2012-05-22,48
2012-05-23,45
2012-05-24,43
2012-05-25,42
2012-05-26,42
2012-05-27,38
2012-05-28,38
2012-05-29,38
2012-05-30,38
2012-05-31,38
2012-06-01,38
2012-06-02,40
2012-06-03,38
2012-06-04,38
2012-06-05,41
2012-06-06,41
2012-06-07,40
2012-06-08,41
2012-06-09,43
2012-06-10,40
2012-06-11,40
2012-06-12,43
2012-06-13,40
2012-06-14,40
2012-06-15,41
2012-06-16,42
2012-06-17,41
2012-06-18,42
2012-06-19,43
2012-06-20,46
2012-06-21,46
2012-06-22,48
2012-06-23,52
2012-06-24,50
2012-06-25,47
2012-06-26,47
2012-06-27,45
2012-06-28,46
2012-06-29,45
2012-06-30,46
2012-07-01,42
2012-07-02,42
2012-07-03,42
2012-07-04,44
2012-07-05,42
2012-07-06,43
2012-07-07,45
2012-07-08,44
2012-07-09,43
2012-07-10,44
2012-07-11,45
2012-07-12,46
2012-07-13,48
2012-07-14,53
2012-07-15,49
2012-07-16,51
2012-07-17,53
2012-07-18,63
2012-07-19,56
2012-07-20,61
2012-07-21,65
2012-07-22,57
2012-07-23,55
2012-07-24,53
2012-07-25,50
2012-07-26,47
2012-07-27,47
2012-07-28,45
2012-07-29,42
2012-07-30,42
2012-07-31,41
2012-08-01,42
2012-08-02,42
2012-08-03,40
2012-08-04,41
2012-08-05,39
2012-08-06,38
2012-08-07,37
2012-08-08,37
2012-08-09,36
2012-08-10,35
2012-08-11,40
2012-08-12,35
2012-08-13,35
2012-08-14,38
2012-08-15,36
2012-08-16,37
2012-08-17,37
2012-08-18,40
2012-08-19,37
2012-08-20,37
2012-08-21,37
2012-08-22,36
2012-08-23,36
2012-08-24,37
2012-08-25,37
2012-08-26,36
2012-08-27,36
2012-08-28,37
2012-08-29,37
2012-08-30,38
2012-08-31,38
2012-09-01,42
2012-09-02,47
2012-09-03,56
2012-09-04,65
2012-09-05,73
2012-09-06,84
2012-09-07,92
2012-09-08,108
2012-09-09,99
2012-09-10,90
2012-09-11,86
2012-09-12,84
2012-09-13,85
2012-09-14,72
2012-09-15,71
2012-09-16,67
2012-09-17,66
2012-09-18,66
2012-09-19,65
2012-09-20,69
2012-09-21,64
2012-09-22,67
2012-09-23,64
2012-09-24,61
2012-09-25,59
2012-09-26,59
2012-09-27,57
2012-09-28,58
2012-09-29,55
2012-09-30,53
2012-10-01,52
2012-10-02,51
2012-10-03,53
2012-10-04,50
2012-10-05,53
2012-10-06,51
2012-10-07,49
2012-10-08,49
2012-10-09,49
2012-10-10,51
2012-10-11,49
2012-10-12,49
2012-10-13,56
2012-10-14,51
2012-10-15,53
2012-10-16,54
2012-10-17,59
2012-10-18,57
2012-10-19,62
2012-10-20,67
2012-10-21,61
2012-10-22,60
2012-10-23,59
2012-10-24,61
2012-10-25,58
2012-10-26,64
2012-10-27,58
2012-10-28,60
2012-10-29,53
2012-10-30,50
2012-10-31,48
2012-11-01,47
2012-11-02,43
2012-11-03,43
2012-11-04,45
2012-11-05,43
2012-11-06,45
2012-11-07,45
2012-11-08,48
2012-11-09,47
2012-11-10,51
2012-11-11,50
2012-11-12,52
2012-11-13,55
2012-11-14,57
2012-11-15,61
2012-11-16,65
2012-11-17,67
2012-11-18,70
2012-11-19,57
2012-11-20,54
2012-11-21,54
2012-11-22,47
2012-11-23,46
2012-11-24,42
2012-11-25,42
2012-11-26,42
2012-11-27,45
2012-11-28,44
2012-11-29,45
2012-11-30,46
2012-12-01,55
2012-12-02,48
2012-12-03,48
2012-12-04,48
2012-12-05,48
2012-12-06,48
2012-12-07,50
2012-12-08,51
2012-12-09,48
2012-12-10,48
2012-12-11,47
2012-12-12,47
2012-12-13,46
2012-12-14,49
2012-12-15,49
2012-12-16,45
2012-12-17,42
2012-12-18,41
2012-12-19,39
2012-12-20,39
2012-12-21,36
2012-12-22,37
2012-12-23,34
2012-12-24,34
2012-12-25,39
2012-12-26,34
2012-12-27,35
2012-12-28,34
2012-12-29,35
2012-12-30,36
2012-12-31,35
2013-01-01,35
2013-01-02,36
2013-01-03,36
2013-01-04,38
2013-01-05,40
2013-01-06,40
2013-01-07,42
2013-01-08,44
2013-01-09,50
2013-01-10,49
2013-01-11,51
2013-01-12,58
2013-01-13,54
2013-01-14,54
2013-01-15,58
2013-01-16,54
2013-01-17,59
2013-01-18,54
2013-01-19,59
2013-01-20,54
2013-01-21,53
2013-01-22,52
2013-01-23,51
2013-01-24,52
2013-01-25,49
2013-01-26,52
2013-01-27,48
2013-01-28,48
2013-01-29,48
2013-01-30,50
2013-01-31,48
2013-02-01,48
2013-02-02,55
2013-02-03,52
2013-02-04,47
2013-02-05,48
2013-02-06,46
2013-02-07,48
2013-02-08,45
2013-02-09,44
2013-02-10,44
2013-02-11,44
2013-02-12,44
2013-02-13,45
2013-02-14,46
2013-02-15,44
2013-02-16,48
2013-02-17,46
2013-02-18,43
2013-02-19,43
2013-02-20,42
2013-02-21,42
2013-02-22,43
2013-02-23,44
2013-02-24,42
2013-02-25,42
2013-02-26,42
2013-02-27,42
2013-02-28,42
2013-03-01,42
2013-03-02,46
2013-03-03,42
2013-03-04,42
2013-03-05,42
2013-03-06,44
2013-03-07,44
2013-03-08,43
2013-03-09,50
2013-03-10,44
2013-03-11,44
2013-03-12,46
2013-03-13,44
2013-03-14,44
2013-03-15,47
2013-03-16,49
2013-03-17,44
2013-03-18,43
2013-03-19,43
2013-03-20,42
2013-03-21,41
2013-03-22,40
2013-03-23,44
2013-03-24,40
2013-03-25,40
2013-03-26,40
2013-03-27,40
2013-03-28,42
2013-03-29,41
2013-03-30,40
2013-03-31,40
2013-04-01,41
2013-04-02,41
2013-04-03,42
2013-04-04,42
2013-04-05,44
2013-04-06,50
2013-04-07,44
2013-04-08,45
2013-04-09,46
2013-04-10,47
2013-04-11,49
2013-04-12,49
2013-04-13,52
2013-04-14,55
2013-04-15,54
2013-04-16,56
2013-04-17,63
2013-04-18,62
2013-04-19,62
2013-04-20,68
2013-04-21,69
2013-04-22,61
2013-04-23,59
2013-04-24,57
2013-04-25,55
2013-04-26,57
2013-04-27,56
2013-04-28,53
2013-04-29,50
2013-04-30,49
2013-05-01,50
2013-05-02,47
2013-05-03,50
2013-05-04,46
2013-05-05,45
2013-05-06,45
2013-05-07,45
2013-05-08,44
2013-05-09,44
2013-05-10,47
2013-05-11,44
2013-05-12,45
2013-05-13,46
2013-05-14,47
2013-05-15,48
2013-05-16,49
2013-05-17,50
2013-05-18,54
2013-05-19,53
2013-05-20,50
2013-05-21,49
2013-05-22,52
2013-05-23,48
2013-05-24,49
2013-05-25,50
2013-05-26,50
2013-05-27,46
2013-05-28,45
2013-05-29,44
2013-05-30,43
2013-05-31,42
2013-06-01,46
2013-06-02,40
2013-06-03,40
2013-06-04,41
2013-06-05,41
2013-06-06,38
2013-06-07,43
2013-06-08,39
2013-06-09,38
2013-06-10,39
2013-06-11,40
2013-06-12,40
2013-06-13,43
2013-06-14,42
2013-06-15,50
2013-06-16,42
2013-06-17,41
2013-06-18,42
2013-06-19,42
2013-06-20,40
2013-06-21,43
2013-06-22,39
2013-06-23,40
2013-06-24,40
2013-06-25,42
2013-06-26,42
2013-06-27,42
2013-06-28,46
2013-06-29,48
2013-06-30,43
2013-07-01,43
2013-07-02,43
2013-07-03,45
2013-07-04,43
2013-07-05,43
2013-07-06,48
2013-07-07,42
2013-07-08,42
2013-07-09,41
2013-07-10,45
2013-07-11,40
2013-07-12,41
2013-07-13,40
2013-07-14,45
2013-07-15,42
2013-07-16,43
2013-07-17,46
2013-07-18,45
2013-07-19,49
2013-07-20,50
2013-07-21,47
2013-07-22,46
2013-07-23,49
2013-07-24,46
2013-07-25,47
2013-07-26,46
2013-07-27,48
2013-07-28,48
2013-07-29,46
2013-07-30,47
2013-07-31,47
2013-08-01,50
2013-08-02,48
2013-08-03,53
2013-08-04,49
2013-08-05,51
2013-08-06,53
2013-08-07,55
2013-08-08,63
2013-08-09,61
2013-08-10,65
2013-08-11,60
2013-08-12,58
2013-08-13,57
2013-08-14,56
2013-08-15,54
2013-08-16,54
2013-08-17,60
2013-08-18,52
2013-08-19,52
2013-08-20,52
2013-08-21,53
2013-08-22,55
2013-08-23,53
2013-08-24,58
2013-08-25,55
2013-08-26,51
2013-08-27,50
2013-08-28,49
2013-08-29,47
2013-08-30,46
2013-08-31,51
2013-09-01,44
2013-09-02,43
2013-09-03,43
2013-09-04,44
2013-09-05,42
2013-09-06,43
2013-09-07,43
2013-09-08,41
2013-09-09,42
2013-09-10,43
2013-09-11,43
2013-09-12,46
2013-09-13,46
2013-09-14,50
2013-09-15,48
2013-09-16,46
2013-09-17,46
2013-09-18,46
2013-09-19,48
2013-09-20,46
2013-09-21,51
2013-09-22,47
2013-09-23,49
2013-09-24,51
2013-09-25,53
2013-09-26,59
2013-09-27,56
2013-09-28,59
2013-09-29,58
2013-09-30,55
2013-10-01,54
2013-10-02,56
2013-10-03,51
2013-10-04,52
2013-10-05,50
2013-10-06,51
2013-10-07,48
2013-10-08,48
2013-10-09,48
2013-10-10,49
2013-10-11,48
2013-10-12,49
2013-10-13,53
2013-10-14,48
2013-10-15,49
2013-10-16,50
2013-10-17,50
2013-10-18,53
2013-10-19,56
2013-10-20,53
2013-10-21,49
2013-10-22,48
2013-10-23,47
2013-10-24,46
2013-10-25,46
2013-10-26,48
2013-10-27,43
2013-10-28,42
2013-10-29,42
2013-10-30,46
2013-10-31,41
2013-11-01,46
2013-11-02,40
2013-11-03,41
2013-11-04,42
2013-11-05,43
2013-11-06,44
2013-11-07,45
2013-11-08,46
2013-11-09,53
2013-11-10,47
2013-11-11,47
2013-11-12,49
2013-11-13,48
2013-11-14,48
2013-11-15,49
2013-11-16,55
2013-11-17,49
2013-11-18,49
2013-11-19,52
2013-11-20,49
2013-11-21,50
2013-11-22,51
2013-11-23,56
2013-11-24,49
2013-11-25,48
2013-11-26,47
2013-11-27,49
2013-11-28,49
2013-11-29,44
2013-11-30,47
2013-12-01,44
2013-12-02,44
2013-12-03,44
2013-12-04,45
2013-12-05,44
2013-12-06,44
2013-12-07,47
2013-12-08,45
2013-12-09,43
2013-12-10,43
2013-12-11,46
2013-12-12,42
2013-12-13,43
2013-12-14,43
2013-12-15,43
2013-12-16,41
2013-12-17,42
2013-12-18,40
2013-12-19,43
2013-12-20,40
2013-12-21,43
2013-12-22,38
2013-12-23,35
2013-12-24,32
2013-12-25,31
2013-12-26,27
2013-12-27,25
2013-12-28,23
2013-12-29,27
2013-12-30,26
2013-12-31,28
