Date,AECOM Technology
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,0
2006-09-08,0
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,0
2007-01-29,0
2007-01-30,0
2007-01-31,0
2007-02-01,0
2007-02-02,0
2007-02-03,0
2007-02-04,0
2007-02-05,0
2007-02-06,0
2007-02-07,0
2007-02-08,0
2007-02-09,0
2007-02-10,0
2007-02-11,0
2007-02-12,0
2007-02-13,0
2007-02-14,0
2007-02-15,0
2007-02-16,0
2007-02-17,0
2007-02-18,0
2007-02-19,0
2007-02-20,0
2007-02-21,0
2007-02-22,0
2007-02-23,0
2007-02-24,0
2007-02-25,0
2007-02-26,0
2007-02-27,0
2007-02-28,0
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,3
2007-04-03,6
2007-04-04,10
2007-04-05,13
2007-04-06,16
2007-04-07,20
2007-04-08,23
2007-04-09,26
2007-04-10,30
2007-04-11,33
2007-04-12,36
2007-04-13,40
2007-04-14,43
2007-04-15,46
2007-04-16,50
2007-04-17,53
2007-04-18,56
2007-04-19,60
2007-04-20,63
2007-04-21,66
2007-04-22,70
2007-04-23,73
2007-04-24,76
2007-04-25,80
2007-04-26,83
2007-04-27,86
2007-04-28,90
2007-04-29,93
2007-04-30,96
2007-05-01,100
2007-05-02,99
2007-05-03,98
2007-05-04,97
2007-05-05,96
2007-05-06,95
2007-05-07,94
2007-05-08,93
2007-05-09,92
2007-05-10,91
2007-05-11,90
2007-05-12,89
2007-05-13,88
2007-05-14,87
2007-05-15,86
2007-05-16,85
2007-05-17,85
2007-05-18,84
2007-05-19,83
2007-05-20,82
2007-05-21,81
2007-05-22,80
2007-05-23,79
2007-05-24,78
2007-05-25,77
2007-05-26,76
2007-05-27,75
2007-05-28,74
2007-05-29,73
2007-05-30,72
2007-05-31,71
2007-06-01,71
2007-06-02,71
2007-06-03,71
2007-06-04,71
2007-06-05,71
2007-06-06,71
2007-06-07,71
2007-06-08,71
2007-06-09,71
2007-06-10,71
2007-06-11,71
2007-06-12,71
2007-06-13,71
2007-06-14,71
2007-06-15,71
2007-06-16,71
2007-06-17,71
2007-06-18,71
2007-06-19,71
2007-06-20,71
2007-06-21,71
2007-06-22,71
2007-06-23,71
2007-06-24,71
2007-06-25,71
2007-06-26,71
2007-06-27,71
2007-06-28,71
2007-06-29,71
2007-06-30,71
2007-07-01,71
2007-07-02,71
2007-07-03,71
2007-07-04,71
2007-07-05,71
2007-07-06,71
2007-07-07,71
2007-07-08,71
2007-07-09,71
2007-07-10,71
2007-07-11,71
2007-07-12,71
