Date,Targanta
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,0
2007-01-29,0
2007-01-30,0
2007-01-31,0
2007-02-01,0
2007-02-02,0
2007-02-03,0
2007-02-04,0
2007-02-05,0
2007-02-06,0
2007-02-07,0
2007-02-08,0
2007-02-09,0
2007-02-10,0
2007-02-11,0
2007-02-12,0
2007-02-13,0
2007-02-14,0
2007-02-15,0
2007-02-16,0
2007-02-17,0
2007-02-18,0
2007-02-19,0
2007-02-20,0
2007-02-21,0
2007-02-22,0
2007-02-23,0
2007-02-24,0
2007-02-25,0
2007-02-26,0
2007-02-27,0
2007-02-28,0
2007-03-01,0
2007-03-02,0
2007-03-03,0
2007-03-04,0
2007-03-05,0
2007-03-06,0
2007-03-07,0
2007-03-08,0
2007-03-09,0
2007-03-10,0
2007-03-11,0
2007-03-12,0
2007-03-13,0
2007-03-14,0
2007-03-15,0
2007-03-16,0
2007-03-17,0
2007-03-18,0
2007-03-19,0
2007-03-20,0
2007-03-21,0
2007-03-22,0
2007-03-23,0
2007-03-24,0
2007-03-25,0
2007-03-26,0
2007-03-27,0
2007-03-28,0
2007-03-29,0
2007-03-30,0
2007-03-31,0
2007-04-01,0
2007-04-02,2
2007-04-03,4
2007-04-04,6
2007-04-05,8
2007-04-06,10
2007-04-07,12
2007-04-08,14
2007-04-09,17
2007-04-10,19
2007-04-11,21
2007-04-12,23
2007-04-13,25
2007-04-14,27
2007-04-15,29
2007-04-16,32
2007-04-17,34
2007-04-18,36
2007-04-19,38
2007-04-20,40
2007-04-21,42
2007-04-22,44
2007-04-23,46
2007-04-24,49
2007-04-25,51
2007-04-26,53
2007-04-27,55
2007-04-28,57
2007-04-29,59
2007-04-30,61
2007-05-01,64
2007-05-02,63
2007-05-03,62
2007-05-04,62
2007-05-05,61
2007-05-06,61
2007-05-07,60
2007-05-08,60
2007-05-09,59
2007-05-10,59
2007-05-11,58
2007-05-12,58
2007-05-13,57
2007-05-14,57
2007-05-15,56
2007-05-16,56
2007-05-17,55
2007-05-18,55
2007-05-19,54
2007-05-20,54
2007-05-21,53
2007-05-22,53
2007-05-23,52
2007-05-24,52
2007-05-25,51
2007-05-26,51
2007-05-27,50
2007-05-28,50
2007-05-29,49
2007-05-30,49
2007-05-31,48
2007-06-01,48
2007-06-02,48
2007-06-03,48
2007-06-04,48
2007-06-05,48
2007-06-06,48
2007-06-07,48
2007-06-08,48
2007-06-09,48
2007-06-10,48
2007-06-11,48
2007-06-12,48
2007-06-13,48
2007-06-14,48
2007-06-15,48
2007-06-16,48
2007-06-17,48
2007-06-18,48
2007-06-19,48
2007-06-20,48
2007-06-21,48
2007-06-22,48
2007-06-23,48
2007-06-24,48
2007-06-25,48
2007-06-26,48
2007-06-27,48
2007-06-28,48
2007-06-29,48
2007-06-30,48
2007-07-01,48
2007-07-02,48
2007-07-03,48
2007-07-04,48
2007-07-05,48
2007-07-06,48
2007-07-07,48
2007-07-08,48
2007-07-09,48
2007-07-10,48
2007-07-11,48
2007-07-12,48
2007-07-13,48
2007-07-14,48
2007-07-15,48
2007-07-16,48
2007-07-17,48
2007-07-18,48
2007-07-19,48
2007-07-20,48
2007-07-21,48
2007-07-22,48
2007-07-23,48
2007-07-24,48
2007-07-25,48
2007-07-26,48
2007-07-27,48
2007-07-28,48
2007-07-29,48
2007-07-30,48
2007-07-31,48
2007-08-01,48
2007-08-02,48
2007-08-03,48
2007-08-04,48
2007-08-05,48
2007-08-06,48
2007-08-07,48
2007-08-08,48
2007-08-09,48
2007-08-10,48
2007-08-11,48
2007-08-12,48
2007-08-13,48
2007-08-14,48
2007-08-15,48
2007-08-16,48
2007-08-17,48
2007-08-18,48
2007-08-19,48
2007-08-20,48
2007-08-21,48
2007-08-22,48
2007-08-23,48
2007-08-24,48
2007-08-25,48
2007-08-26,48
2007-08-27,48
2007-08-28,48
2007-08-29,48
2007-08-30,48
2007-08-31,48
2007-09-01,48
2007-09-02,49
2007-09-03,51
2007-09-04,53
2007-09-05,54
2007-09-06,56
2007-09-07,58
2007-09-08,60
2007-09-09,61
2007-09-10,63
2007-09-11,65
2007-09-12,67
2007-09-13,68
2007-09-14,70
2007-09-15,72
2007-09-16,74
2007-09-17,75
2007-09-18,77
2007-09-19,79
2007-09-20,80
2007-09-21,82
2007-09-22,84
2007-09-23,86
2007-09-24,87
2007-09-25,89
2007-09-26,91
2007-09-27,93
2007-09-28,94
2007-09-29,96
2007-09-30,98
2007-10-01,100
2007-10-02,98
2007-10-03,96
2007-10-04,95
2007-10-05,93
