Date,CommScope Holding
2013-02-01,39
2013-02-02,39
2013-02-03,33
2013-02-04,27
2013-02-05,22
2013-02-06,16
2013-02-07,11
2013-02-08,5
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,0
2013-03-06,0
2013-03-07,0
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-16,0
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,0
2013-03-27,0
2013-03-28,0
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,0
2013-05-04,0
2013-05-05,0
2013-05-06,0
2013-05-07,0
2013-05-08,0
2013-05-09,0
2013-05-10,0
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,0
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,0
2013-06-03,0
2013-06-04,0
2013-06-05,0
2013-06-06,0
2013-06-07,0
2013-06-08,0
2013-06-09,0
2013-06-10,0
2013-06-11,0
2013-06-12,0
2013-06-13,0
2013-06-14,0
2013-06-15,0
2013-06-16,0
2013-06-17,0
2013-06-18,0
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-22,0
2013-06-23,7
2013-06-24,15
2013-06-25,23
2013-06-26,30
2013-06-27,38
2013-06-28,46
2013-06-29,54
2013-06-30,52
2013-07-01,50
2013-07-02,48
2013-07-03,46
2013-07-04,44
2013-07-05,42
2013-07-06,40
2013-07-07,40
2013-07-08,40
2013-07-09,40
2013-07-10,40
2013-07-11,40
2013-07-12,40
2013-07-13,40
2013-07-14,40
2013-07-15,41
2013-07-16,41
2013-07-17,42
2013-07-18,42
2013-07-19,43
2013-07-20,44
2013-07-21,44
2013-07-22,45
2013-07-23,45
2013-07-24,46
2013-07-25,46
2013-07-26,47
2013-07-27,48
2013-07-28,41
2013-07-29,34
2013-07-30,27
2013-07-31,20
2013-08-04,0
2013-08-05,0
2013-08-06,0
2013-08-07,0
2013-08-08,0
2013-08-09,0
2013-08-10,0
2013-08-11,0
2013-08-12,0
2013-08-13,0
2013-08-14,0
2013-08-15,0
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-08-31,0
2013-09-01,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,0
2013-10-13,10
2013-10-14,20
2013-10-15,30
2013-10-16,40
2013-10-17,50
2013-10-18,60
2013-10-19,70
2013-10-20,74
2013-10-21,79
2013-10-22,83
2013-10-23,87
2013-10-24,92
2013-10-25,96
2013-10-26,101
2013-10-27,96
2013-11-01,74
2013-11-02,70
2013-11-03,66
2013-11-04,63
2013-11-05,59
2013-11-06,56
2013-11-07,52
2013-11-08,49
2013-11-09,46
2013-11-10,46
2013-11-11,46
2013-11-12,46
2013-11-13,46
2013-11-14,46
2013-11-15,46
2013-11-16,46
2013-11-17,46
2013-11-18,46
2013-11-19,46
2013-11-20,46
2013-11-21,46
2013-11-22,46
2013-11-23,46
2013-11-24,44
2013-11-25,43
2013-11-26,42
2013-11-27,40
2013-11-28,39
2013-11-29,38
2013-11-30,37
2013-12-01,37
2013-12-02,37
2013-12-03,37
2013-12-04,37
2013-12-05,37
2013-12-06,37
2013-12-07,37
2013-12-08,37
2013-12-09,37
2013-12-10,37
2013-12-11,37
2013-12-12,37
2013-12-13,37
2013-12-14,37
2013-12-15,37
2013-12-16,37
2013-12-17,37
2013-12-18,37
2013-12-19,37
2013-12-20,37
2013-12-21,37
2013-12-22,36
2013-12-23,36
2013-12-24,36
2013-12-25,35
2013-12-26,35
2013-12-27,35
2013-12-28,35
2013-12-29,35
2013-12-30,35
2013-12-31,35
2014-01-01,35
2014-01-02,35
2014-01-03,35
2014-01-04,35
2014-01-05,35
2014-01-06,35
2014-01-07,35
2014-01-08,35
2014-01-09,35
2014-01-10,35
2014-01-11,35
2014-01-12,35
2014-01-13,36
2014-01-14,37
2014-01-15,38
2014-01-16,39
2014-01-17,40
2014-01-18,41
2014-01-19,42
2014-01-20,43
2014-01-21,44
2014-01-22,45
2014-01-23,46
2014-01-24,47
2014-01-25,48
2014-01-26,46
2014-01-27,44
2014-01-28,43
2014-01-29,41
2014-01-30,40
2014-01-31,38
2014-02-01,37
2014-02-02,37
2014-02-03,37
2014-02-04,37
2014-02-05,37
2014-02-06,37
2014-02-07,37
2014-02-08,37
2014-02-09,37
2014-02-10,37
2014-02-11,37
2014-02-12,37
2014-02-13,37
2014-02-14,37
2014-02-15,37
2014-02-16,37
2014-02-17,37
2014-02-18,37
2014-02-19,37
2014-02-20,37
2014-02-21,37
2014-02-22,37
2014-02-23,31
2014-02-24,26
2014-02-25,21
2014-02-26,15
2014-02-27,10
2014-02-28,5
