Date,Mitsubishi UFJ Securities,Company,Mitsubishi UFJ Securities
2004-01-04,0
2004-01-11,0
2004-01-18,0
2004-01-25,0
2004-02-01,0
2004-02-08,0
2004-02-15,0
2004-02-22,0
2004-02-29,0
2004-03-07,0
2004-03-14,0
2004-03-21,0
2004-03-28,0
2004-04-04,0
2004-04-11,0
2004-04-18,0
2004-04-25,0
2004-05-02,0
2004-05-09,0
2004-05-16,0
2004-05-23,0
2004-05-30,0
2004-06-06,0
2004-06-13,0
2004-06-20,0
2004-06-27,0
2004-07-04,0
2004-07-11,0
2004-07-18,0
2004-07-25,0
2004-08-01,0
2004-08-08,0
2004-08-15,0
2004-08-22,0
2004-08-29,0
2004-09-05,0
2004-09-12,0
2004-09-19,0
2004-09-26,0
2004-10-03,0
2004-10-10,0
2004-10-17,0
2004-10-24,0
2004-10-31,0
2004-11-07,0
2004-11-14,0
2004-11-21,0
2004-11-28,0
2004-12-05,0
2004-12-12,0
2004-12-19,0
2004-12-26,0
2005-01-02,0
2005-01-09,0
2005-01-16,0
2005-01-23,0
2005-01-30,0
2005-02-06,0
2005-02-13,0
2005-02-20,0
2005-02-27,0
2005-03-06,0
2005-03-13,0
2005-03-20,0
2005-03-27,0
2005-04-03,0
2005-04-10,0
2005-04-17,0
2005-04-24,0
2005-05-01,0
2005-05-08,0
2005-05-15,0
2005-05-22,0
2005-05-29,0
2005-06-05,0
2005-06-12,0
2005-06-19,0
2005-06-26,0
2005-07-03,0
2005-07-10,0
2005-07-17,0
2005-07-24,0
2005-07-31,0
2005-08-07,0
2005-08-14,0
2005-08-21,0
2005-08-28,0
2005-09-04,0
2005-09-11,0
2005-09-18,0
2005-09-25,0
2005-10-02,0
2005-10-09,0
2005-10-16,0
2005-10-23,0
2005-10-30,0
2005-11-06,0
2005-11-13,0
2005-11-20,0
2005-11-27,0
2005-12-04,0
2005-12-11,0
2005-12-18,0
2005-12-25,0
2006-01-01,0
2006-01-08,0
2006-01-15,0
2006-01-22,0
2006-01-29,53
2006-02-05,0
2006-02-12,0
2006-02-19,0
2006-02-26,0
2006-03-05,0
2006-03-12,0
2006-03-19,0
2006-03-26,0
2006-04-02,58
2006-04-09,52
2006-04-16,52
2006-04-23,52
2006-04-30,42
2006-05-07,42
2006-05-14,42
2006-05-21,60
2006-05-28,44
2006-06-04,44
2006-06-11,44
2006-06-18,44
2006-06-25,0
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,0
2006-07-30,0
2006-08-06,0
2006-08-13,0
2006-08-20,45
2006-08-27,46
2006-09-03,47
2006-09-10,48
2006-09-17,49
2006-09-24,0
2006-10-01,0
2006-10-08,0
2006-10-15,0
2006-10-22,0
2006-10-29,0
2006-11-05,0
2006-11-12,0
2006-11-19,0
2006-11-26,0
2006-12-03,37
2006-12-10,42
2006-12-17,47
2006-12-24,37
2006-12-31,37
2007-01-07,40
2007-01-14,43
2007-01-21,33
2007-01-28,33
2007-02-04,36
2007-02-11,40
2007-02-18,43
2007-02-25,44
2007-03-04,48
2007-03-11,53
2007-03-18,49
2007-03-25,56
2007-04-01,37
2007-04-08,72
2007-04-15,79
2007-04-22,80
2007-04-29,63
2007-05-06,94
2007-05-13,66
2007-05-20,63
2007-05-27,57
2007-06-03,58
2007-06-10,50
2007-06-17,61
2007-06-24,36
2007-07-01,37
2007-07-08,46
2007-07-15,29
2007-07-22,53
2007-07-29,72
2007-08-05,75
2007-08-12,45
2007-08-19,83
2007-08-26,100
2007-09-02,64
2007-09-09,57
2007-09-16,54
2007-09-23,70
2007-09-30,32
2007-10-07,92
2007-10-14,42
2007-10-21,61
2007-10-28,56
2007-11-04,50
2007-11-11,39
2007-11-18,51
2007-11-25,40
2007-12-02,54
2007-12-09,50
2007-12-16,24
2007-12-23,65
2007-12-30,25
2008-01-06,41
2008-01-13,46
2008-01-20,54
2008-01-27,22
2008-02-03,33
2008-02-10,44
2008-02-17,31
2008-02-24,42
2008-03-02,38
2008-03-09,49
2008-03-16,43
2008-03-23,29
2008-03-30,44
2008-04-06,31
2008-04-13,38
2008-04-20,49
2008-04-27,23
2008-05-04,34
2008-05-11,43
2008-05-18,36
2008-05-25,36
2008-06-01,35
2008-06-08,21
2008-06-15,45
2008-06-22,31
2008-06-29,27
2008-07-06,36
2008-07-13,41
2008-07-20,25
2008-07-27,25
2008-08-03,25
2008-08-10,28
2008-08-17,32
2008-08-24,22
2008-08-31,23
2008-09-07,24
2008-09-14,24
2008-09-21,41
2008-09-28,17
2008-10-05,28
2008-10-12,33
2008-10-19,34
2008-10-26,35
2008-11-02,18
2008-11-09,22
2008-11-16,30
2008-11-23,29
2008-11-30,29
2008-12-07,30
2008-12-14,24
2008-12-21,19
2008-12-28,23
2009-01-04,26
2009-01-11,26
2009-01-18,26
2009-01-25,27
2009-02-01,17
2009-02-08,30
2009-02-15,20
2009-02-22,14
2009-03-01,21
2009-03-08,22
2009-03-15,17
2009-03-22,25
2009-03-29,24
2009-04-05,34
2009-04-12,37
2009-04-19,32
2009-04-26,26
2009-05-03,25
2009-05-10,22
2009-05-17,29
2009-05-24,22
2009-05-31,30
2009-06-07,31
2009-06-14,37
2009-06-21,22
2009-06-28,37
2009-07-05,26
2009-07-12,21
2009-07-19,29
2009-07-26,41
2009-08-02,45
2009-08-09,27
2009-08-16,30
2009-08-23,26
2009-08-30,31
2009-09-06,26
2009-09-13,33
2009-09-20,17
2009-09-27,12
2009-10-04,17
2009-10-11,21
2009-10-18,29
2009-10-25,29
2009-11-01,31
