Date,RBC Capital Markets,Corporation,RBC Capital Markets
2004-01-04,0
2004-01-11,0
2004-01-18,0
2004-01-25,0
2004-02-01,0
2004-02-08,0
2004-02-15,0
2004-02-22,0
2004-02-29,0
2004-03-07,0
2004-03-14,0
2004-03-21,0
2004-03-28,0
2004-04-04,0
2004-04-11,0
2004-04-18,0
2004-04-25,0
2004-05-02,0
2004-05-09,0
2004-05-16,0
2004-05-23,0
2004-05-30,0
2004-06-06,0
2004-06-13,0
2004-06-20,0
2004-06-27,0
2004-07-04,0
2004-07-11,0
2004-07-18,0
2004-07-25,0
2004-08-01,0
2004-08-08,0
2004-08-15,0
2004-08-22,0
2004-08-29,0
2004-09-05,0
2004-09-12,0
2004-09-19,0
2004-09-26,0
2004-10-03,0
2004-10-10,0
2004-10-17,0
2004-10-24,0
2004-10-31,0
2004-11-07,0
2004-11-14,0
2004-11-21,0
2004-11-28,0
2004-12-05,0
2004-12-12,0
2004-12-19,0
2004-12-26,0
2005-01-02,0
2005-01-09,0
2005-01-16,0
2005-01-23,0
2005-01-30,0
2005-02-06,0
2005-02-13,0
2005-02-20,0
2005-02-27,0
2005-03-06,0
2005-03-13,0
2005-03-20,0
2005-03-27,0
2005-04-03,0
2005-04-10,0
2005-04-17,0
2005-04-24,0
2005-05-01,0
2005-05-08,0
2005-05-15,0
2005-05-22,0
2005-05-29,0
2005-06-05,0
2005-06-12,0
2005-06-19,0
2005-06-26,0
2005-07-03,0
2005-07-10,0
2005-07-17,0
2005-07-24,0
2005-07-31,0
2005-08-07,0
2005-08-14,0
2005-08-21,0
2005-08-28,0
2005-09-04,0
2005-09-11,0
2005-09-18,0
2005-09-25,0
2005-10-02,100
2005-10-09,100
2005-10-16,0
2005-10-23,0
2005-10-30,0
2005-11-06,0
2005-11-13,0
2005-11-20,0
2005-11-27,0
2005-12-04,0
2005-12-11,0
2005-12-18,0
2005-12-25,0
2006-01-01,0
2006-01-08,85
2006-01-15,91
2006-01-22,0
2006-01-29,0
2006-02-05,0
2006-02-12,0
2006-02-19,0
2006-02-26,0
2006-03-05,92
2006-03-12,75
2006-03-19,75
2006-03-26,0
2006-04-02,0
2006-04-09,0
2006-04-16,0
2006-04-23,0
2006-04-30,0
2006-05-07,0
2006-05-14,0
2006-05-21,0
2006-05-28,0
2006-06-04,0
2006-06-11,0
2006-06-18,0
2006-06-25,0
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,0
2006-07-30,82
2006-08-06,0
2006-08-13,0
2006-08-20,0
2006-08-27,0
2006-09-03,0
2006-09-10,0
2006-09-17,66
2006-09-24,72
2006-10-01,77
2006-10-08,73
2006-10-15,73
2006-10-22,73
2006-10-29,73
2006-11-05,73
2006-11-12,0
2006-11-19,0
2006-11-26,0
2006-12-03,0
2006-12-10,0
2006-12-17,63
2006-12-24,64
2006-12-31,65
2007-01-07,66
2007-01-14,73
2007-01-21,80
2007-01-28,87
2007-02-04,95
2007-02-11,0
2007-02-18,0
2007-02-25,0
2007-03-04,0
2007-03-11,0
2007-03-18,0
2007-03-25,0
2007-04-01,0
2007-04-08,0
2007-04-15,49
2007-04-22,59
2007-04-29,50
2007-05-06,50
2007-05-13,50
2007-05-20,50
2007-05-27,50
2007-06-03,55
2007-06-10,60
2007-06-17,65
2007-06-24,0
2007-07-01,0
2007-07-08,0
2007-07-15,0
2007-07-22,0
2007-07-29,46
2007-08-05,51
2007-08-12,52
2007-08-19,53
2007-08-26,42
2007-09-02,54
2007-09-09,66
2007-09-16,41
2007-09-23,48
2007-09-30,40
2007-10-07,42
2007-10-14,44
2007-10-21,46
2007-10-28,39
2007-11-04,34
2007-11-11,34
2007-11-18,48
2007-11-25,43
2007-12-02,59
2007-12-09,58
2007-12-16,46
2007-12-23,53
2007-12-30,60
2008-01-06,67
2008-01-13,42
2008-01-20,41
2008-01-27,34
2008-02-03,42
2008-02-10,50
2008-02-17,57
2008-02-24,64
2008-03-02,67
2008-03-09,56
2008-03-16,42
2008-03-23,51
2008-03-30,47
2008-04-06,47
2008-04-13,56
2008-04-20,52
2008-04-27,52
2008-05-04,52
2008-05-11,52
2008-05-18,32
2008-05-25,32
2008-06-01,32
2008-06-08,33
2008-06-15,49
2008-06-22,53
2008-06-29,58
2008-07-06,43
2008-07-13,40
2008-07-20,34
2008-07-27,49
2008-08-03,36
2008-08-10,38
2008-08-17,39
2008-08-24,46
2008-08-31,53
2008-09-07,59
2008-09-14,66
2008-09-21,53
2008-09-28,62
2008-10-05,55
2008-10-12,52
2008-10-19,30
2008-10-26,30
2008-11-02,46
2008-11-09,50
2008-11-16,54
2008-11-23,56
2008-11-30,46
2008-12-07,39
2008-12-14,33
2008-12-21,35
2008-12-28,36
2009-01-04,37
2009-01-11,50
2009-01-18,36
2009-01-25,38
2009-02-01,25
2009-02-08,52
2009-02-15,43
2009-02-22,28
2009-03-01,27
2009-03-08,30
2009-03-15,32
2009-03-22,31
2009-03-29,33
2009-04-05,34
2009-04-12,43
2009-04-19,29
2009-04-26,29
2009-05-03,29
2009-05-10,29
2009-05-17,29
2009-05-24,39
2009-05-31,28
2009-06-07,40
2009-06-14,35
2009-06-21,26
2009-06-28,26
2009-07-05,26
2009-07-12,34
2009-07-19,46
2009-07-26,34
2009-08-02,35
2009-08-09,36
2009-08-16,37
2009-08-23,38
2009-08-30,38
2009-09-06,43
2009-09-13,51
2009-09-20,44
2009-09-27,35
2009-10-04,37
2009-10-11,34
2009-10-18,34
2009-10-25,33
2009-11-01,35
2009-11-08,28
