Date,ipo stock
2004-01-04,0
2004-01-11,0
2004-01-18,0
2004-01-25,0
2004-02-01,0
2004-02-08,0
2004-02-15,0
2004-02-22,0
2004-02-29,0
2004-03-07,0
2004-03-14,0
2004-03-21,0
2004-03-28,0
2004-04-04,0
2004-04-11,0
2004-04-18,0
2004-04-25,0
2004-05-02,0
2004-05-09,0
2004-05-16,0
2004-05-23,0
2004-05-30,0
2004-06-06,0
2004-06-13,0
2004-06-20,0
2004-06-27,0
2004-07-04,0
2004-07-11,0
2004-07-18,0
2004-07-25,0
2004-08-01,0
2004-08-08,0
2004-08-15,0
2004-08-22,0
2004-08-29,0
2004-09-05,0
2004-09-12,0
2004-09-19,0
2004-09-26,0
2004-10-03,0
2004-10-10,0
2004-10-17,0
2004-10-24,0
2004-10-31,0
2004-11-07,0
2004-11-14,0
2004-11-21,0
2004-11-28,0
2004-12-05,0
2004-12-12,0
2004-12-19,0
2004-12-26,0
2005-01-02,0
2005-01-09,0
2005-01-16,0
2005-01-23,0
2005-01-30,0
2005-02-06,0
2005-02-13,0
2005-02-20,0
2005-02-27,0
2005-03-06,0
2005-03-13,0
2005-03-20,0
2005-03-27,0
2005-04-03,0
2005-04-10,0
2005-04-17,0
2005-04-24,0
2005-05-01,0
2005-05-08,0
2005-05-15,0
2005-05-22,0
2005-05-29,55
2005-06-05,0
2005-06-12,0
2005-06-19,0
2005-06-26,0
2005-07-03,0
2005-07-10,0
2005-07-17,0
2005-07-24,0
2005-07-31,0
2005-08-07,0
2005-08-14,0
2005-08-21,0
2005-08-28,0
2005-09-04,0
2005-09-11,0
2005-09-18,0
2005-09-25,0
2005-10-02,0
2005-10-09,0
2005-10-16,0
2005-10-23,0
2005-10-30,45
2005-11-06,0
2005-11-13,0
2005-11-20,0
2005-11-27,0
2005-12-04,0
2005-12-11,0
2005-12-18,0
2005-12-25,0
2006-01-01,0
2006-01-08,0
2006-01-15,0
2006-01-22,0
2006-01-29,0
2006-02-05,0
2006-02-12,0
2006-02-19,0
2006-02-26,0
2006-03-05,36
2006-03-12,35
2006-03-19,49
2006-03-26,35
2006-04-02,35
2006-04-09,35
2006-04-16,35
2006-04-23,35
2006-04-30,36
2006-05-07,37
2006-05-14,38
2006-05-21,42
2006-05-28,40
2006-06-04,40
2006-06-11,40
2006-06-18,0
2006-06-25,0
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,0
2006-07-30,0
2006-08-06,34
2006-08-13,0
2006-08-20,0
2006-08-27,0
2006-09-03,0
2006-09-10,0
2006-09-17,0
2006-09-24,0
2006-10-01,0
2006-10-08,0
2006-10-15,29
2006-10-22,29
2006-10-29,30
2006-11-05,30
2006-11-12,30
2006-11-19,30
2006-11-26,30
2006-12-03,35
2006-12-10,41
2006-12-17,28
2006-12-24,28
2006-12-31,28
2007-01-07,28
2007-01-14,27
2007-01-21,27
2007-01-28,27
2007-02-04,27
2007-02-11,27
2007-02-18,40
2007-02-25,54
2007-03-04,26
2007-03-11,0
2007-03-18,0
2007-03-25,0
2007-04-01,0
2007-04-08,0
2007-04-15,0
2007-04-22,28
2007-04-29,30
2007-05-06,25
2007-05-13,25
2007-05-20,28
2007-05-27,31
2007-06-03,34
2007-06-10,29
2007-06-17,28
2007-06-24,31
2007-07-01,35
2007-07-08,24
2007-07-15,41
2007-07-22,26
2007-07-29,34
2007-08-05,28
2007-08-12,34
2007-08-19,24
2007-08-26,22
2007-09-02,25
2007-09-09,19
2007-09-16,19
2007-09-23,26
2007-09-30,35
2007-10-07,24
2007-10-14,32
2007-10-21,34
2007-10-28,41
2007-11-04,30
2007-11-11,32
2007-11-18,30
2007-11-25,23
2007-12-02,22
2007-12-09,23
2007-12-16,23
2007-12-23,27
2007-12-30,30
2008-01-06,36
2008-01-13,31
2008-01-20,21
2008-01-27,32
2008-02-03,33
2008-02-10,27
2008-02-17,16
2008-02-24,26
2008-03-02,26
2008-03-09,20
2008-03-16,64
2008-03-23,31
2008-03-30,25
2008-04-06,20
2008-04-13,27
2008-04-20,20
2008-04-27,15
2008-05-04,15
2008-05-11,15
2008-05-18,16
2008-05-25,15
2008-06-01,15
2008-06-08,15
2008-06-15,17
2008-06-22,17
2008-06-29,0
2008-07-06,0
2008-07-13,0
2008-07-20,0
2008-07-27,0
2008-08-03,0
2008-08-10,0
2008-08-17,17
2008-08-24,15
2008-08-31,15
2008-09-07,15
2008-09-14,0
2008-09-21,0
2008-09-28,0
2008-10-05,0
2008-10-12,0
2008-10-19,0
2008-10-26,0
2008-11-02,0
2008-11-09,0
2008-11-16,0
2008-11-23,0
2008-11-30,0
2008-12-07,0
2008-12-14,0
2008-12-21,0
2008-12-28,0
2009-01-04,0
2009-01-11,0
2009-01-18,0
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,0
2009-04-05,0
2009-04-12,0
2009-04-19,0
2009-04-26,0
2009-05-03,0
2009-05-10,11
2009-05-17,12
2009-05-24,0
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,0
2009-06-28,0
2009-07-05,0
2009-07-12,0
2009-07-19,11
2009-07-26,21
2009-08-02,12
2009-08-09,24
2009-08-16,21
2009-08-23,22
2009-08-30,25
2009-09-06,17
2009-09-13,17
2009-09-20,21
2009-09-27,16
2009-10-04,17
2009-10-11,11
2009-10-18,16
2009-10-25,11
2009-11-01,12
2009-11-08,14
2009-11-15,18
2009-11-22,12
